id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,publishDate,releaseDate,removeDate,ownerName,ownerId,updaterName,updaterId,parentId,sortOrder,urls,salesAmount,transactionFee,kiibeeCut,rentAmount,from,rawEarnings,amount,isPaid,to,transactionAmount,kiibeeCutAmount
"123415","afa5191a-07bf-4809-bdde-12172d6467e7","umb://document/afa5191a07bf4809bdde12172d6467e7","KBF-1751","payout","true","true","2026-05-22 10:05:24","2026-05-22 10:10:31","","","","","","","","1905","12","[""/amin-jensen-entertainment/payouts/kbf-1751/""]","12","6","20","3","2025-12-19 09:40:55","690","348.6","true","2026-05-22 10:05:19","41.4","300"
"116564","5c1cd884-8aae-4355-b7a0-121724fd7452","umb://document/5c1cd8848aae4355b7a0121724fd7452","KBF-1705","payout","true","true","2025-12-19 09:40:59","2025-12-19 09:45:21","","","","","","","","1905","11","[""/amin-jensen-entertainment/payouts/kbf-1705/""]","22","6","20","3","2025-06-13 11:33:48","1245","670.3","true","2025-12-19 09:40:55","74.7","500"
"110512","b7c1ed69-363b-4bd8-b7f6-f6ae70f0bae4","umb://document/b7c1ed69363b4bd8b7f6f6ae70f0bae4","KBF-1640","payout","true","true","2025-06-13 11:33:56","2025-06-13 13:56:45","","","","","","","","1905","10","[""/amin-jensen-entertainment/payouts/kbf-1640/""]","20","6","20","4","2024-11-14 17:40:30","1020","478.8","true","2025-06-13 11:33:48","61.2","480"
"102713","fc35b551-f0e2-4a3f-8ca9-04cc6b23ef87","umb://document/fc35b551f0e24a3f8ca904cc6b23ef87","KBF-1575","payout","true","true","2024-11-14 17:42:33","2024-11-14 18:03:42","","","","","","","","1905","9","[""/amin-jensen-entertainment/payouts/kbf-1575/""]","30","6","20","13","2024-04-30 08:22:36","1770","803.8","true","2024-11-14 17:40:30","106.2","860"
"96736","84364abf-d21c-47be-b484-caae3e4e887b","umb://document/84364abfd21c47beb484caae3e4e887b","KBF-1511","payout","true","true","2024-04-30 08:23:03","2024-11-14 17:59:36","","","","","","","","1905","8","[""/amin-jensen-entertainment/payouts/kbf-1511/""]","52","6","20","7","2023-10-10 08:59:52","2550","1217","true","2024-04-30 08:22:36","153","1180"
"91066","e15ccb84-4912-4585-8dab-e0629bd83da7","umb://document/e15ccb84491245858dabe0629bd83da7","KBF-1446","payout","true","true","2023-10-10 09:00:17","2023-10-10 09:24:30","","","","","","","","1905","7","[""/amin-jensen-entertainment/payouts/kbf-1446/""]","35","6","15","5","2023-05-16 08:39:52","1815","1106.1","true","2023-10-10 08:59:52","108.9","600"
"81878","6c2590a8-7ae6-4aff-9840-fecc74499faf","umb://document/6c2590a87ae64aff9840fecc74499faf","KBF-1409","payout","true","true","2023-05-16 08:40:06","2023-05-16 11:43:27","","","","","","","","1905","6","[""/amin-jensen-entertainment/payouts/kbf-1409/""]","18","6","15","5","2023-03-07 10:12:46","990","585.6","true","2023-05-16 08:39:52","59.4","345"
"78693","e509d507-bfb8-470b-a3dd-b469a8df38b4","umb://document/e509d507bfb8470ba3ddb469a8df38b4","KBF-1380","payout","true","true","2023-03-07 10:13:10","2023-03-07 10:25:54","","","","","","","","1905","5","[""/amin-jensen-entertainment/payouts/kbf-1380/""]","30","6","15","7","2022-12-02 09:01:07","1530","883.2","true","2023-03-07 10:12:46","91.8","555"
"75526","9ede0b98-ca0f-4301-b2cf-4d2133fdcb18","umb://document/9ede0b98ca0f4301b2cf4d2133fdcb18","KBF-1346","payout","true","true","2022-12-02 09:01:23","2022-12-02 09:44:06","","","","","","","","1905","4","[""/amin-jensen-entertainment/payouts/kbf-1346/""]","66","6","15","12","2022-08-29 19:26:02","2940","1593.6","true","2022-12-02 09:01:07","176.4","1170"
"69435","703e9e4e-c091-48be-b1e8-304bf6f53e72","umb://document/703e9e4ec09148beb1e8304bf6f53e72","KBF-1300","payout","true","true","2022-08-29 19:26:18","2022-08-30 10:27:46","","","","","","","","1905","3","[""/amin-jensen-entertainment/payouts/kbf-1300/""]","52","5","10","5","2021-09-02 09:36:33","2490","1795.5","true","2022-08-29 19:26:02","124.5","570"
"49708","b5d35c3d-f7df-41be-a658-c074a20da370","umb://document/b5d35c3df7df41bea658c074a20da370","KBF-1183","payout","true","true","2021-09-02 09:36:43","2021-09-02 11:52:02","","","","","","","","1905","2","[""/amin-jensen-entertainment/payouts/kbf-1183/""]","18","5","10","3","2021-04-28 15:27:13","870","616.5","true","2021-09-02 09:36:33","43.5","210"
"44334","336539ef-61a5-470c-963d-14fd751e4e13","umb://document/336539ef61a5470c963d14fd751e4e13","KBF-1149","payout","true","true","2021-04-28 15:27:24","2021-04-28 15:30:18","","","","","","","","1905","1","[""/amin-jensen-entertainment/payouts/kbf-1149/""]","16","5","10","0","2020-12-28 11:25:13","720","524","true","2021-04-28 15:27:13","36","160"
"26014","85930939-36f8-49b5-ad46-764c774a19e5","umb://document/8593093936f849b5ad46764c774a19e5","KBF-1105","payout","true","true","2020-12-28 11:25:47","2020-12-29 12:15:48","","","","","","","","1905","0","[""/amin-jensen-entertainment/payouts/kbf-1105/""]","","","","","2019-07-23 11:04:18","","795.5","true","2020-12-28 11:25:13","",""
