id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,publishDate,releaseDate,removeDate,ownerName,ownerId,updaterName,updaterId,parentId,sortOrder,urls,salesAmount,transactionFee,kiibeeCut,rentAmount,from,rawEarnings,amount,isPaid,to,transactionAmount,kiibeeCutAmount
"116359","ca1a8a03-7af1-4545-8285-982c36997479","umb://document/ca1a8a037af145458285982c36997479","KBF-1694","payout","true","true","2025-12-09 11:04:06","2025-12-09 11:21:20","","","","","","","","55250","10","[""/b-entertained/payouts/kbf-1694/""]","8","6","15","8","2025-04-01 11:30:25","1184","872.96","true","2025-12-09 11:03:53","71.04","240"
"108198","fdeba7b7-9c04-4ae4-9d62-0761780d5173","umb://document/fdeba7b79c044ae49d620761780d5173","KBF-1616","payout","true","true","2025-04-01 11:30:37","2025-04-01 11:32:25","","","","","","","","55250","9","[""/b-entertained/payouts/kbf-1616/""]","9","6","15","14","2024-06-04 15:52:51","1567","1127.98","true","2025-04-01 11:30:25","94.02","345"
"97615","290bd49a-65b1-43a1-8ae6-aabbc19b1878","umb://document/290bd49a65b143a18ae6aabbc19b1878","KBF-1530","payout","true","true","2024-06-04 15:53:17","2024-06-04 16:00:38","","","","","","","","55250","8","[""/b-entertained/payouts/kbf-1530/""]","5","6","15","18","2023-10-10 09:20:49","1377","949.38","true","2024-06-04 15:52:51","82.62","345"
"91068","ee7a4517-aefe-4a89-b847-0d049815c55e","umb://document/ee7a4517aefe4a89b8470d049815c55e","KBF-1447","payout","true","true","2023-10-10 09:21:14","2023-10-10 09:25:14","","","","","","","","55250","7","[""/b-entertained/payouts/kbf-1447/""]","6","6","15","23","2023-05-16 08:58:18","1721","1182.74","true","2023-10-10 09:20:49","103.26","435"
"81882","9fbbcabf-2ec7-4c98-9e7d-66ef41fdd07b","umb://document/9fbbcabf2ec74c989e7d66ef41fdd07b","KBF-1413","payout","true","true","2023-05-16 08:58:23","2023-05-16 11:51:24","","","","","","","","55250","6","[""/b-entertained/payouts/kbf-1413/""]","6","6","15","43","2023-03-07 10:41:16","2701","1803.94","true","2023-05-16 08:58:18","162.06","735"
"78697","62406af3-d33d-4b25-acc3-37eb8fdae89d","umb://document/62406af3d33d4b25acc337eb8fdae89d","KBF-1382","payout","true","true","2023-03-07 10:41:36","2023-03-07 10:42:57","","","","","","","","55250","5","[""/b-entertained/payouts/kbf-1382/""]","14","5","15","42","2022-12-08 17:27:02","3444","2431.8","true","2023-03-07 10:41:16","172.2","840"
"75745","a3d4e022-fa8a-491c-9abb-5bdf7fd8af68","umb://document/a3d4e022fa8a491c9abb5bdf7fd8af68","KBF-1353","payout","true","true","2022-12-08 17:27:39","2022-12-09 13:18:09","","","","","","","","55250","4","[""/b-entertained/payouts/kbf-1353/""]","8","5","10","36","2022-10-20 07:09:32","2556","1988.2","true","2022-12-08 17:27:02","127.8","440"
"73999","cdf117d4-12a3-4c63-a31f-e5b824cf3940","umb://document/cdf117d412a34c63a31fe5b824cf3940","KBF-1331","payout","true","true","2022-10-20 07:09:53","2022-10-21 10:21:51","","","","","","","","55250","3","[""/b-entertained/payouts/kbf-1331/""]","16","5","10","83","2022-09-18 11:28:14","5651","4378.45","true","2022-10-20 07:09:32","282.55","990"
"72639","f185be09-2bab-4366-b79e-c706ad4b55a0","umb://document/f185be092bab4366b79ec706ad4b55a0","KBF-1311","payout","true","true","2022-09-18 11:28:32","2022-09-19 13:01:47","","","","","","","","55250","2","[""/b-entertained/payouts/kbf-1311/""]","8","5","10","27","2022-09-13 14:48:59","2115","1659.25","true","2022-09-18 11:28:14","105.75","350"
"72361","6c970128-533f-4380-9005-db3620df8d3d","umb://document/6c970128533f43809005db3620df8d3d","KBF-1308","payout","true","true","2022-09-13 14:51:03","2022-09-14 09:08:38","","","","","","","","55250","1","[""/b-entertained/payouts/kbf-1308/""]","130","5","10","516","2022-08-20 20:24:48","38154","29786.3","true","2022-09-13 14:48:59","1907.7","6460"
"68866","a7e6bec5-4214-435e-8f01-a1f846418ac8","umb://document/a7e6bec54214435e8f01a1f846418ac8","KBF-1295","payout","true","true","2022-08-20 20:25:10","2022-08-22 13:10:54","","","","","","","","55250","0","[""/b-entertained/payouts/kbf-1295/""]","10","4","10","7","2021-12-20 12:32:14","1333","1109.68","true","2022-08-20 20:24:48","53.32","170"
