id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,publishDate,releaseDate,removeDate,ownerName,ownerId,updaterName,updaterId,parentId,sortOrder,urls,purchasePrice,access,rentalPrice,code,metaDescription,metaTitle,type,videoDownloadURL,rawFile,videoStatus,hidden,videoThumbnailURL,videoID,openWebContentInNewWindows,trailer,openWebContentFromList,webContentURL,orderID,videoSize,productLink,expandedDescription,production,year,description,productionLink,thumbnail,title,badge,length,tags,hidePlay,hideDownload,siteMapOption,thumbnailCrops,thumbnailWide,thumbnailHigh
"55520","70fc4c7f-09ea-43e1-bca9-612511cea03d","umb://document/70fc4c7f09ea43e1bca9612511cea03d","DM i stand-up 2021","media","true","true","2021-12-26 16:21:11","2021-12-29 18:32:15","2021-12-29 18:32:15","","","Martin H. Schläger","0","Martin H. Schläger","0","43818","9","[""https://comedy-tv.dk/dm-i-stand-up/dm-i-stand-up-2021/""]","49","[""58""]","","","","","[""264""]","","","","0","","","0","","1","https://www.kiibee.dk/fbidk/dm-i-stand-up/dm-i-stand-up-2021/","0","","","","","0","BLa","","/media/3929/dm-i-standup-2021-poster.png","DM i stand-up 2021","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3929/dm-i-standup-2021-poster.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3929/dm-i-standup-2021-poster.png?crop=High""}]","/media/3929/dm-i-standup-2021-poster.png?crop=Wide","/media/3929/dm-i-standup-2021-poster.png?crop=High"
"55742","6036ebe6-a85a-49fb-bb94-44aa6b040ea6","umb://document/6036ebe6a85a49fbbb9444aa6b040ea6","DM i stand-up 2019","media","true","true","2021-12-29 18:31:09","2021-12-29 18:37:12","2021-12-29 18:37:12","","","Martin H. Schläger","0","Martin H. Schläger","0","43818","10","[""https://comedy-tv.dk/dm-i-stand-up/dm-i-stand-up-2019/""]","39","[""58""]","","","","","[""264""]","","","","0","","","0","","1","https://www.kiibee.dk/fbidk/dm-i-stand-up/dm-i-standup-2019/","1","","","","","0","bla.","","/media/3936/dm-standup-2019.jpeg","DM i stand-up 2019","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3936/dm-standup-2019.jpeg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3936/dm-standup-2019.jpeg?crop=High""}]","/media/3936/dm-standup-2019.jpeg?crop=Wide","/media/3936/dm-standup-2019.jpeg?crop=High"
"45171","25438b7e-d338-4814-9b0e-b36fe09720a1","umb://document/25438b7ed33848149b0eb36fe09720a1","DM I STAND-UP 2018","media","true","true","2021-05-08 19:08:34","2021-12-29 18:32:17","2021-12-29 18:32:17","","","Martin H. Schläger","0","Martin H. Schläger","0","43818","8","[""https://comedy-tv.dk/dm-i-stand-up/dm-i-stand-up-2018/""]","39","[""58""]","","","","","[""264""]","","","","0","","","0","","1","https://www.kiibee.dk/fbidk/dm-i-stand-up/dm-i-stand-up-2018/","2","","","","","0","tesk","","/media/3486/570x798.jpg","DM I STAND-UP 2018","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3486/570x798.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3486/570x798.jpg?crop=High""}]","/media/3486/570x798.jpg?crop=Wide","/media/3486/570x798.jpg?crop=High"
"45170","3667f74c-9382-43b4-8da8-a269bc6519b8","umb://document/3667f74c938243b48da8a269bc6519b8","DM i stand-up 2017","media","true","true","2021-05-08 19:07:24","2021-12-29 18:32:18","2021-12-29 18:32:18","","","Martin H. Schläger","0","Martin H. Schläger","0","43818","7","[""https://comedy-tv.dk/dm-i-stand-up/dm-i-stand-up-2017/""]","39","[""58""]","","","","","[""264""]","","","","0","","","0","","1","https://www.kiibee.dk/fbidk/dm-i-stand-up/dm-i-stand-up-2017/","3","","","","","0","tekst","","/media/3485/400x600.jpg","DM i stand-up 2017","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3485/400x600.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3485/400x600.jpg?crop=High""}]","/media/3485/400x600.jpg?crop=Wide","/media/3485/400x600.jpg?crop=High"
"45169","d5ab2028-49a2-444b-8a42-2ad56122a27f","umb://document/d5ab202849a2444b8a422ad56122a27f","DM i stand-up 2015","media","true","true","2021-05-08 19:06:10","2021-12-29 18:32:18","2021-12-29 18:32:18","","","Martin H. Schläger","0","Martin H. Schläger","0","43818","6","[""https://comedy-tv.dk/dm-i-stand-up/dm-i-stand-up-2015/""]","39","[""58""]","","","","","[""264""]","","","","0","","","0","","1","https://www.kiibee.dk/fbidk/dm-i-stand-up/dm-i-stand-up-2015/","4","","","","","0","tejst","","/media/3484/dm15-profile.jpg","DM i stand-up 2015","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3484/dm15-profile.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3484/dm15-profile.jpg?crop=High""}]","/media/3484/dm15-profile.jpg?crop=Wide","/media/3484/dm15-profile.jpg?crop=High"
"45168","93f40a69-7496-41d5-b7df-fe192ab807ec","umb://document/93f40a69749641d5b7dffe192ab807ec","DM i stand-up 2013","media","true","true","2021-05-08 19:04:50","2021-12-29 18:32:19","2021-12-29 18:32:19","","","Martin H. Schläger","0","Martin H. Schläger","0","43818","5","[""https://comedy-tv.dk/dm-i-stand-up/dm-i-stand-up-2013/""]","39","[""58""]","","","","","[""264""]","","","","0","","","0","","1","https://www.kiibee.dk/fbidk/dm-i-stand-up/dm-i-stand-up-2013/","5","","","","","0","tekst","","/media/3483/400x600.jpg","DM i stand-up 2013","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3483/400x600.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3483/400x600.jpg?crop=High""}]","/media/3483/400x600.jpg?crop=Wide","/media/3483/400x600.jpg?crop=High"
"45167","7cf71514-c753-4893-9e39-e7c33b9d32ca","umb://document/7cf71514c75348939e39e7c33b9d32ca","DM i stand-up 2010","media","true","true","2021-05-08 19:03:44","2021-12-29 18:32:20","2021-12-29 18:32:20","","","Martin H. Schläger","0","Martin H. Schläger","0","43818","4","[""https://comedy-tv.dk/dm-i-stand-up/dm-i-stand-up-2010/""]","39","[""58""]","","","","","[""264""]","","","","0","","","0","","1","https://www.kiibee.dk/fbidk/dm-i-stand-up/dm-i-stand-up-2010/","6","","","","","0","test","","/media/3482/dm-i-stand-up-10-_facing_.jpg","DM i stand-up 2010","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3482/dm-i-stand-up-10-_facing_.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3482/dm-i-stand-up-10-_facing_.jpg?crop=High""}]","/media/3482/dm-i-stand-up-10-_facing_.jpg?crop=Wide","/media/3482/dm-i-stand-up-10-_facing_.jpg?crop=High"
"45165","a74569bc-ba7a-4f9e-b379-b41df026fcc6","umb://document/a74569bcba7a4f9eb379b41df026fcc6","DM i stand-up 2006","media","true","true","2021-05-08 19:00:31","2021-12-29 18:32:20","2021-12-29 18:32:20","","","Martin H. Schläger","0","Martin H. Schläger","0","43818","2","[""https://comedy-tv.dk/dm-i-stand-up/dm-i-stand-up-2006/""]","39","[""58""]","","","","","[""264""]","","","","0","","","0","","1","https://www.kiibee.dk/fbidk/dm-i-stand-up/dm-i-stand-up-2006/","7","","","","","0","test","","/media/3480/dm-i-stand-up-2006_400x600.jpg","DM i stand-up 2006","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3480/dm-i-stand-up-2006_400x600.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3480/dm-i-stand-up-2006_400x600.jpg?crop=High""}]","/media/3480/dm-i-stand-up-2006_400x600.jpg?crop=Wide","/media/3480/dm-i-stand-up-2006_400x600.jpg?crop=High"
"45163","526ff8ca-7098-4e95-a47f-3a5e0dc0d8e7","umb://document/526ff8ca70984e95a47f3a5e0dc0d8e7","DM i stand-up 2004","media","true","true","2021-05-08 18:58:40","2021-12-29 18:32:21","2021-12-29 18:32:21","","","Martin H. Schläger","0","Martin H. Schläger","0","43818","1","[""https://comedy-tv.dk/dm-i-stand-up/dm-i-stand-up-2004/""]","39","[""58""]","","","","","[""264""]","","","","0","","","0","","0","https://www.kiibee.dk/fbidk/dm-i-stand-up/dm-i-stand-up-2004/","8","","","","","0","test","","/media/3479/dm-logo2004.jpg","DM i stand-up 2004","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3479/dm-logo2004.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3479/dm-logo2004.jpg?crop=High""}]","/media/3479/dm-logo2004.jpg?crop=Wide","/media/3479/dm-logo2004.jpg?crop=High"
"45166","d0c368c1-d1ff-4c6a-b24d-a4a4a9a26316","umb://document/d0c368c1d1ff4c6ab24da4a4a9a26316","DM i stand-up 2008","media","true","true","2021-05-08 19:01:56","2021-12-29 18:32:22","2021-12-29 18:32:22","","","Martin H. Schläger","0","Martin H. Schläger","0","43818","3","[""https://comedy-tv.dk/dm-i-stand-up/dm-i-stand-up-2008/""]","39","[""58""]","","","","","[""264""]","","","","0","","","0","","1","https://www.kiibee.dk/fbidk/dm-i-stand-up/dm-i-stand-up-2008/","9","","","","","0","test","","/media/3481/dm-i-stand-up-2008_400x600.jpg","DM i stand-up 2008","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3481/dm-i-stand-up-2008_400x600.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3481/dm-i-stand-up-2008_400x600.jpg?crop=High""}]","/media/3481/dm-i-stand-up-2008_400x600.jpg?crop=Wide","/media/3481/dm-i-stand-up-2008_400x600.jpg?crop=High"
