id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,publishDate,releaseDate,removeDate,ownerName,ownerId,updaterName,updaterId,parentId,sortOrder,urls,purchasePrice,access,rentalPrice,code,metaDescription,metaTitle,type,videoDownloadURL,rawFile,videoStatus,hidden,videoThumbnailURL,videoID,openWebContentInNewWindows,trailer,openWebContentFromList,webContentURL,orderID,videoSize,productLink,expandedDescription,production,year,description,productionLink,thumbnail,title,badge,length,tags,hidePlay,hideDownload,siteMapOption,thumbnailCrops,thumbnailWide,thumbnailHigh
"43420","47158410-cdcd-485a-a093-82fbc5973b9f","umb://document/47158410cdcd485aa09382fbc5973b9f","Extrospekt","media","true","true","2021-04-20 10:31:50","2024-01-29 22:19:44","2024-01-29 22:19:44","","","Martin H. Schläger","0","Magnus Løv Schmidt","4","39799","12","[""https://comedy-tv.dk/forslag-til-dig/extrospekt/""]","39","[""58""]","","","","","[""264""]","","","","0","","","0","","1","https://www.kiibee.dk/thomas-hartmann/shows/extrospekt/","0","","","","","0","tekst","","/media/3241/th4-dvd-slipcase5.jpg","Extrospekt","","0","","0","0","{""priority"":0.5,""frequency"":2,""exclude"":true}","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3241/th4-dvd-slipcase5.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3241/th4-dvd-slipcase5.jpg?crop=High""}]","/media/3241/th4-dvd-slipcase5.jpg?crop=Wide","/media/3241/th4-dvd-slipcase5.jpg?crop=High"
"43443","55214bee-7389-41ec-ad55-01c227f4c6d2","umb://document/55214bee738941ecad5501c227f4c6d2","SPAS","media","true","true","2021-04-20 12:21:07","2024-01-29 22:19:57","2024-01-29 22:19:57","","","Martin H. Schläger","0","Magnus Løv Schmidt","4","39799","10","[""https://comedy-tv.dk/forslag-til-dig/spas/""]","39","[""58""]","","","","","[""264""]","","","","0","","","0","","1","https://www.kiibee.dk/microphone-entertainment/shows/mick-%C3%B8gendahl-spas/","1","","","","","0","Test ","","/media/3254/400x600.jpg","SPAS","","0","","0","0","{""priority"":0.5,""frequency"":2,""exclude"":true}","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3254/400x600.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3254/400x600.jpg?crop=High""}]","/media/3254/400x600.jpg?crop=Wide","/media/3254/400x600.jpg?crop=High"
"41879","2608a046-8212-42d4-b72f-d2d446196781","umb://document/2608a046821242d4b72fd2d446196781","Kærlighed","media","true","true","2021-04-02 09:51:56","2024-01-29 22:20:06","2024-01-29 22:20:06","","","Martin H. Schläger","0","Magnus Løv Schmidt","4","39799","17","[""https://comedy-tv.dk/forslag-til-dig/kaerlighed/""]","39","[""58""]","","","","","[""264""]","","","","0","","","0","","1","https://www.kiibee.dk/thomas-hartmann/shows/kaerlighed/","2","","","","","0","Tekst","","/media/3065/kaerlighed-facing.jpg","Kærlighed ","","0","","0","0","{""priority"":0.5,""frequency"":2,""exclude"":true}","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3065/kaerlighed-facing.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3065/kaerlighed-facing.jpg?crop=High""}]","/media/3065/kaerlighed-facing.jpg?crop=Wide","/media/3065/kaerlighed-facing.jpg?crop=High"
"43464","d1bcefa8-558f-49a0-aea9-98f078824ba6","umb://document/d1bcefa8558f49a0aea998f078824ba6","Helt Perfekt","media","true","true","2021-04-20 15:16:05","2024-01-29 22:20:14","2024-01-29 22:20:14","","","Martin H. Schläger","0","Magnus Løv Schmidt","4","39799","8","[""https://comedy-tv.dk/forslag-til-dig/helt-perfekt/""]","39","[""58""]","","","","","[""264""]","","","","0","","","0","","1","https://www.kiibee.dk/elias-ehlers/shows/helt-perfekt/","3","","","","","0","tekst","","/media/3271/elias-ehlers_helt-perfekt_400-600.jpg","Helt Perfekt","","0","","0","0","{""priority"":0.5,""frequency"":2,""exclude"":true}","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3271/elias-ehlers_helt-perfekt_400-600.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3271/elias-ehlers_helt-perfekt_400-600.jpg?crop=High""}]","/media/3271/elias-ehlers_helt-perfekt_400-600.jpg?crop=Wide","/media/3271/elias-ehlers_helt-perfekt_400-600.jpg?crop=High"
"45043","02e46b80-9d12-467b-8734-c9b21956b7d6","umb://document/02e46b809d12467b8734c9b21956b7d6","Men’s Room 3","media","true","true","2021-05-07 12:42:02","2024-01-29 22:20:27","2024-01-29 22:20:27","","","Martin H. Schläger","0","Magnus Løv Schmidt","4","39799","16","[""https://comedy-tv.dk/forslag-til-dig/men-s-room-3/""]","39","[""58""]","","","","","[""264""]","","","","0","","","0","","1","https://www.kiibee.dk/fbidk/mens-room/men-s-room-3/","4","","","","","0","test","","/media/3412/mens-room-3-400.jpeg","Men’s Room 3","","0","","0","0","{""priority"":0.5,""frequency"":2,""exclude"":true}","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3412/mens-room-3-400.jpeg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3412/mens-room-3-400.jpeg?crop=High""}]","/media/3412/mens-room-3-400.jpeg?crop=Wide","/media/3412/mens-room-3-400.jpeg?crop=High"
"43431","b9ef5671-fa58-4248-8907-f9ca2aa0eb10","umb://document/b9ef5671fa5842488907f9ca2aa0eb10","Dyret!","media","true","true","2021-04-20 11:39:33","2024-01-29 22:20:36","2024-01-29 22:20:36","","","Martin H. Schläger","0","Magnus Løv Schmidt","4","39799","9","[""https://comedy-tv.dk/forslag-til-dig/dyret/""]","39","[""58""]","","","","","[""264""]","","","","0","","","0","","1","https://www.kiibee.dk/carsten-bang/shows/dyret/","5","","","","","0","tekst ","","/media/3246/400x600.jpg","Dyret!","","0","","0","0","{""priority"":0.5,""frequency"":2,""exclude"":true}","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3246/400x600.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3246/400x600.jpg?crop=High""}]","/media/3246/400x600.jpg?crop=Wide","/media/3246/400x600.jpg?crop=High"
"43461","d6d5cc87-8f70-460c-a2be-6169a2dd5267","umb://document/d6d5cc878f70460ca2be6169a2dd5267","ABC","media","true","true","2021-04-20 15:06:52","2024-01-29 22:20:45","2024-01-29 22:20:45","","","Martin H. Schläger","0","Magnus Løv Schmidt","4","39799","18","[""https://comedy-tv.dk/forslag-til-dig/abc/""]","39","[""58""]","","","","","[""264""]","","","","0","","","0","","1","https://www.kiibee.dk/torben-chris/shows/abc/","6","","","","","0","tekst","","/media/3268/tc_abc_web_ikon-628x890.jpeg","ABC","","0","","0","0","{""priority"":0.5,""frequency"":2,""exclude"":true}","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3268/tc_abc_web_ikon-628x890.jpeg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3268/tc_abc_web_ikon-628x890.jpeg?crop=High""}]","/media/3268/tc_abc_web_ikon-628x890.jpeg?crop=Wide","/media/3268/tc_abc_web_ikon-628x890.jpeg?crop=High"
"43460","bfb5dee0-feb8-4479-ba4a-e5db72ad5559","umb://document/bfb5dee0feb84479ba4ae5db72ad5559","Lige ved og voksen","media","true","true","2021-04-20 15:03:40","2024-01-29 22:20:54","2024-01-29 22:20:54","","","Martin H. Schläger","0","Magnus Løv Schmidt","4","39799","14","[""https://comedy-tv.dk/forslag-til-dig/lige-ved-og-voksen/""]","39","[""58""]","","","","","[""264""]","","","","0","","","0","","1","https://www.kiibee.dk/anders-fjelsted/shows/lige-ved-og-voksen/","7","","","","","0","tekst","","/media/3267/fjelle_400x600.jpg","Lige ved og voksen","","0","","0","0","{""priority"":0.5,""frequency"":2,""exclude"":true}","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3267/fjelle_400x600.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3267/fjelle_400x600.jpg?crop=High""}]","/media/3267/fjelle_400x600.jpg?crop=Wide","/media/3267/fjelle_400x600.jpg?crop=High"
"43450","7a94e1eb-30b7-49f2-975e-6db5d78b1159","umb://document/7a94e1eb30b749f2975e6db5d78b1159","MØRK","media","true","true","2021-04-20 13:45:27","2024-01-29 22:21:03","2024-01-29 22:21:03","","","Martin H. Schläger","0","Magnus Løv Schmidt","4","39799","7","[""https://comedy-tv.dk/forslag-til-dig/mørk/""]","39","[""58""]","","","","","[""264""]","","","","0","","","0","","1","https://www.kiibee.dk/brian-moerk/shows/m%C3%B8rk/","8","","","","","0","tekst","","/media/3260/mork_400x600.jpg","MØRK","","0","","0","0","{""priority"":0.5,""frequency"":2,""exclude"":true}","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3260/mork_400x600.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3260/mork_400x600.jpg?crop=High""}]","/media/3260/mork_400x600.jpg?crop=Wide","/media/3260/mork_400x600.jpg?crop=High"
"43455","d3ec8c08-287d-442a-8a5d-9bb34b57b599","umb://document/d3ec8c08287d442a8a5d9bb34b57b599","Guide til parforhold","media","true","true","2021-04-20 14:05:53","2024-01-29 22:24:45","2024-01-29 22:24:45","","","Martin H. Schläger","0","Magnus Løv Schmidt","4","39799","11","[""https://comedy-tv.dk/forslag-til-dig/guide-til-parforhold/""]","39","[""58""]","","","","","[""264""]","","","","0","","","0","","1","https://www.kiibee.dk/jacob-tingleff/shows/guide-til-parforhold/","9","","","","","0","Tekst","","/media/3265/jacob-tingleff_guide-til-parforhold_400x600.jpg","Guide til parforhold","","0","","0","0","{""priority"":0.5,""frequency"":2,""exclude"":true}","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3265/jacob-tingleff_guide-til-parforhold_400x600.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3265/jacob-tingleff_guide-til-parforhold_400x600.jpg?crop=High""}]","/media/3265/jacob-tingleff_guide-til-parforhold_400x600.jpg?crop=Wide","/media/3265/jacob-tingleff_guide-til-parforhold_400x600.jpg?crop=High"
"42463","70efc9a0-c274-48a8-b56c-6ae68e0d45fe","umb://document/70efc9a0c27448a8b56c6ae68e0d45fe","Carsten Bang - Alter Ego","media","true","true","2021-04-09 08:21:39","2024-01-29 22:24:55","2024-01-29 22:24:55","","","Martin H. Schläger","0","Magnus Løv Schmidt","4","39799","19","[""https://comedy-tv.dk/forslag-til-dig/carsten-bang-alter-ego/""]","39","[""58""]","","","","","[""264""]","","","","0","","","0","","1","https://www.kiibee.dk/carsten-bang/shows/alter-ego/","10","","","","","0","Alter Ego","","/media/3130/alter-ego.jpg","Carsten Bang - Alter Ego","","0","","0","0","{""priority"":0.5,""frequency"":2,""exclude"":true}","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3130/alter-ego.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3130/alter-ego.jpg?crop=High""}]","/media/3130/alter-ego.jpg?crop=Wide","/media/3130/alter-ego.jpg?crop=High"
