id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,publishDate,releaseDate,removeDate,ownerName,ownerId,updaterName,updaterId,parentId,sortOrder,urls,purchasePrice,access,rentalPrice,code,metaDescription,metaTitle,type,videoDownloadURL,rawFile,videoStatus,hidden,videoThumbnailURL,videoID,openWebContentInNewWindows,trailer,openWebContentFromList,webContentURL,orderID,videoSize,productLink,expandedDescription,production,year,description,productionLink,thumbnail,title,badge,length,tags,hidePlay,hideDownload,siteMapOption,thumbnailCrops,thumbnailWide,thumbnailHigh
"44431","514d5cee-e283-4276-a8d5-588aace0cdce","umb://document/514d5ceee2834276a8d5588aace0cdce","Sæson 4 afsnit 1","media","true","true","2021-04-29 15:30:29","2022-03-18 10:12:29","2022-03-18 10:12:29","","","Martin H. Schläger","0","Martin H. Schläger","0","41931","0","[""/fbidk/stand-updk-saeson-4/saeson-4-afsnit-1/""]","","[""57""]","","","","","[""73""]","https://videodelivery.net/a556a3e0b2a1817e742029a433c09dff/downloads/default.mp4","","ready","0","https://videodelivery.net/a556a3e0b2a1817e742029a433c09dff/thumbnails/thumbnail.jpg","a556a3e0b2a1817e742029a433c09dff","0","","0","","0","352084668","","","FBI.DK","2006","Standup.dk er en stand-up tv-programserie  med en samling af de bedste og nyeste danske komikere.
Det blev sendt på TV for første gang i 1997, og siden er der lavet 6 sæsoner mere.

Medvirkende på sæson 4:
Brian Mørk, Henrik Bruhn
","","/media/3408/sudk-dvdfront.jpg","Sæson 4 afsnit 1","","25","Comedy,Standup","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3408/sudk-dvdfront.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3408/sudk-dvdfront.jpg?crop=High""}]","/media/3408/sudk-dvdfront.jpg?crop=Wide","/media/3408/sudk-dvdfront.jpg?crop=High"
"44432","3dd5d488-8fb4-445f-a4d9-97a42e1ff4c5","umb://document/3dd5d4888fb4445fa4d997a42e1ff4c5","Sæson 4 afsnit 2","media","true","true","2021-04-29 15:42:09","2022-03-18 10:12:59","2022-03-18 10:12:59","","","Martin H. Schläger","0","Martin H. Schläger","0","41931","1","[""/fbidk/stand-updk-saeson-4/saeson-4-afsnit-2/""]","","[""57""]","","","","","[""73""]","https://videodelivery.net/1978c7814f8486e34cf32cff329a286c/downloads/default.mp4","","ready","0","https://videodelivery.net/1978c7814f8486e34cf32cff329a286c/thumbnails/thumbnail.jpg","1978c7814f8486e34cf32cff329a286c","0","","0","","1","382333241","","","FBI.DK","2006","Standup.dk er en stand-up tv-programserie  med en samling af de bedste og nyeste danske komikere.
Det blev sendt på TV for første gang i 1997, og siden er der lavet 6 sæsoner mere.

Medvirkende på sæson 4:
Martin Veltz, Sebastian Dorset","","/media/3407/sudk-dvdfront.jpg","Sæson 4 afsnit 2","","25","Comedy,Standup","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3407/sudk-dvdfront.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3407/sudk-dvdfront.jpg?crop=High""}]","/media/3407/sudk-dvdfront.jpg?crop=Wide","/media/3407/sudk-dvdfront.jpg?crop=High"
"44433","f82fb605-d654-4f95-94e6-8bee20000058","umb://document/f82fb605d6544f9594e68bee20000058","Sæson 4 afsnit 3","media","true","true","2021-04-29 15:53:18","2022-03-18 10:13:10","2022-03-18 10:13:10","","","Martin H. Schläger","0","Martin H. Schläger","0","41931","2","[""/fbidk/stand-updk-saeson-4/saeson-4-afsnit-3/""]","","[""57""]","","","","","[""73""]","https://videodelivery.net/c07f2e1b7f3157149ed947d699e34514/downloads/default.mp4","","ready","0","https://videodelivery.net/c07f2e1b7f3157149ed947d699e34514/thumbnails/thumbnail.jpg","c07f2e1b7f3157149ed947d699e34514","0","","0","","2","342284922","","","FBI.DK","2006","Standup.dk er en stand-up tv-programserie  med en samling af de bedste og nyeste danske komikere.
Det blev sendt på TV for første gang i 1997, og siden er der lavet 6 sæsoner mere.

Medvirkende på sæson 4:
Morten Møller, Steen Molzen","","/media/3409/sudk-dvdfront.jpg","Sæson 4 afsnit 3","","25","Comedy,Standup","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3409/sudk-dvdfront.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3409/sudk-dvdfront.jpg?crop=High""}]","/media/3409/sudk-dvdfront.jpg?crop=Wide","/media/3409/sudk-dvdfront.jpg?crop=High"
"44434","09cc0605-646f-48d4-8878-312d7a8732e7","umb://document/09cc0605646f48d48878312d7a8732e7","Sæson 4 afsnit 4","media","true","true","2021-04-29 16:08:30","2022-03-18 10:13:23","2022-03-18 10:13:23","","","Martin H. Schläger","0","Martin H. Schläger","0","41931","3","[""/fbidk/stand-updk-saeson-4/saeson-4-afsnit-4/""]","","[""57""]","","","","","[""73""]","https://videodelivery.net/9ef90489a64b8508dd64ca56e7e5e452/downloads/default.mp4","","ready","0","https://videodelivery.net/9ef90489a64b8508dd64ca56e7e5e452/thumbnails/thumbnail.jpg","9ef90489a64b8508dd64ca56e7e5e452","0","","0","","3","376265569","","","FBI.DK","2006","Standup.dk er en stand-up tv-programserie  med en samling af de bedste og nyeste danske komikere.
Det blev sendt på TV for første gang i 1997, og siden er der lavet 6 sæsoner mere.

Medvirkende på sæson 4:
Dan Andersen, Tobias Dybvad","","/media/3406/sudk-dvdfront.jpg","Sæson 4 afsnit 4","","25","Comedy,Standup","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3406/sudk-dvdfront.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3406/sudk-dvdfront.jpg?crop=High""}]","/media/3406/sudk-dvdfront.jpg?crop=Wide","/media/3406/sudk-dvdfront.jpg?crop=High"
"44438","6267ec1b-430e-4367-9d0a-0481b116345c","umb://document/6267ec1b430e43679d0a0481b116345c","Sæson 4 afsnit 5","media","true","true","2021-04-29 17:25:53","2022-03-18 10:13:56","2022-03-18 10:13:56","","","Martin H. Schläger","0","Martin H. Schläger","0","41931","4","[""/fbidk/stand-updk-saeson-4/saeson-4-afsnit-5/""]","","[""57""]","","","","","[""73""]","https://videodelivery.net/f45e1fd07d8bf3fb74ddeeb28444c157/downloads/default.mp4","","ready","0","https://videodelivery.net/f45e1fd07d8bf3fb74ddeeb28444c157/thumbnails/thumbnail.jpg","f45e1fd07d8bf3fb74ddeeb28444c157","0","","0","","4","360886528","","","FBI.DK","2006","Standup.dk er en stand-up tv-programserie  med en samling af de bedste og nyeste danske komikere.
Det blev sendt på TV for første gang i 1997, og siden er der lavet 6 sæsoner mere.

Medvirkende på sæson 4:
Mette Frobenius, Michael Schøt","","/media/3410/sudk-dvdfront.jpg","Sæson 4 afsnit 5","","25","Comedy,Standup","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3410/sudk-dvdfront.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3410/sudk-dvdfront.jpg?crop=High""}]","/media/3410/sudk-dvdfront.jpg?crop=Wide","/media/3410/sudk-dvdfront.jpg?crop=High"
"44439","6cd64083-109f-4857-9095-a05211f84952","umb://document/6cd64083109f48579095a05211f84952","Sæson 4 afsnit 7","media","true","true","2021-04-29 17:42:29","2022-03-18 10:14:12","2022-03-18 10:14:12","","","Martin H. Schläger","0","Martin H. Schläger","0","41931","5","[""/fbidk/stand-updk-saeson-4/saeson-4-afsnit-7/""]","","[""57""]","","","","","[""73""]","https://videodelivery.net/1f93cff0fb53938d98d6c9d0b67c29fd/downloads/default.mp4","","ready","0","https://videodelivery.net/1f93cff0fb53938d98d6c9d0b67c29fd/thumbnails/thumbnail.jpg","1f93cff0fb53938d98d6c9d0b67c29fd","0","","0","","5","356424068","","","FBI.DK","2006","Standup.dk er en stand-up tv-programserie  med en samling af de bedste og nyeste danske komikere.
Det blev sendt på TV for første gang i 1997, og siden er der lavet 6 sæsoner mere.

Medvirkende på sæson 4:
Thomas Hartmann","","/media/3468/sudk-dvdfront.jpg","Sæson 4 afsnit 7","","25","Comedy,Standup","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3468/sudk-dvdfront.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3468/sudk-dvdfront.jpg?crop=High""}]","/media/3468/sudk-dvdfront.jpg?crop=Wide","/media/3468/sudk-dvdfront.jpg?crop=High"
"44440","5e3c62c6-600a-4a00-bbb7-9dd19eb3d488","umb://document/5e3c62c6600a4a00bbb79dd19eb3d488","Sæson 4 afsnit 8","media","true","true","2021-04-29 17:51:09","2022-03-18 10:14:30","2022-03-18 10:14:30","","","Martin H. Schläger","0","Martin H. Schläger","0","41931","6","[""/fbidk/stand-updk-saeson-4/saeson-4-afsnit-8/""]","","[""57""]","","","","","[""73""]","https://videodelivery.net/ba11187e67de3c27b451f1452be55f58/downloads/default.mp4","","ready","0","https://videodelivery.net/ba11187e67de3c27b451f1452be55f58/thumbnails/thumbnail.jpg","ba11187e67de3c27b451f1452be55f58","0","","0","","6","369457090","","","FBI.DK","2006","Standup.dk er en stand-up tv-programserie  med en samling af de bedste og nyeste danske komikere.
Det blev sendt på TV for første gang i 1997, og siden er der lavet 6 sæsoner mere.

Medvirkende på sæson 4:
Anders Fjelsted","","/media/3469/sudk-dvdfront.jpg","Sæson 4 afsnit 8","","25","Comedy,Standup","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3469/sudk-dvdfront.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3469/sudk-dvdfront.jpg?crop=High""}]","/media/3469/sudk-dvdfront.jpg?crop=Wide","/media/3469/sudk-dvdfront.jpg?crop=High"
"44442","cdc6a872-e949-48a8-89b0-f64920605efd","umb://document/cdc6a872e94948a889b0f64920605efd","Sæson 4 afsnit 9","media","true","true","2021-04-29 18:30:22","2022-03-18 10:14:44","2022-03-18 10:14:44","","","Martin H. Schläger","0","Martin H. Schläger","0","41931","7","[""/fbidk/stand-updk-saeson-4/saeson-4-afsnit-9/""]","","[""57""]","","","","","[""73""]","https://videodelivery.net/f88e4e926ab685128af32429b8abb344/downloads/default.mp4","","ready","0","https://videodelivery.net/f88e4e926ab685128af32429b8abb344/thumbnails/thumbnail.jpg","f88e4e926ab685128af32429b8abb344","0","","0","","7","362782992","","","FBI.DK","2006","Standup.dk er en stand-up tv-programserie  med en samling af de bedste og nyeste danske komikere.
Det blev sendt på TV for første gang i 1997, og siden er der lavet 6 sæsoner mere.

Medvirkende på sæson 4:
Carsten Eskelund","","/media/3470/sudk-dvdfront.jpg","Sæson 4 afsnit 9","","25","Comedy,Standup","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3470/sudk-dvdfront.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3470/sudk-dvdfront.jpg?crop=High""}]","/media/3470/sudk-dvdfront.jpg?crop=Wide","/media/3470/sudk-dvdfront.jpg?crop=High"
"44443","0cb9726b-117c-4f4e-8e3a-92ec2dcfa808","umb://document/0cb9726b117c4f4e8e3a92ec2dcfa808","Sæson 4 afsnit 10 ","media","true","true","2021-04-29 18:41:52","2022-03-18 10:15:31","2022-03-18 10:15:31","","","Martin H. Schläger","0","Martin H. Schläger","0","41931","8","[""/fbidk/stand-updk-saeson-4/saeson-4-afsnit-10/""]","","[""57""]","","","","","[""73""]","https://videodelivery.net/3c1ed4e114bae12d5fadfc822cf7c80f/downloads/default.mp4","","ready","0","https://videodelivery.net/3c1ed4e114bae12d5fadfc822cf7c80f/thumbnails/thumbnail.jpg","3c1ed4e114bae12d5fadfc822cf7c80f","0","","0","","8","362456256","","","FBI.DK","2006","Standup.dk er en stand-up tv-programserie  med en samling af de bedste og nyeste danske komikere.
Det blev sendt på TV for første gang i 1997, og siden er der lavet 6 sæsoner mere.

Medvirkende på sæson 4:
Carsten Bang","","/media/3471/sudk-dvdfront.jpg","Sæson 4 afsnit 10 ","","25","Comedy,Standup","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3471/sudk-dvdfront.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3471/sudk-dvdfront.jpg?crop=High""}]","/media/3471/sudk-dvdfront.jpg?crop=Wide","/media/3471/sudk-dvdfront.jpg?crop=High"
"44445","e4dce05f-c7ef-4df8-acd3-807aa76c641d","umb://document/e4dce05fc7ef4df8acd3807aa76c641d","Sæson 4 afsnit 11","media","true","true","2021-04-29 18:50:28","2022-03-18 10:15:45","2022-03-18 10:15:45","","","Martin H. Schläger","0","Martin H. Schläger","0","41931","9","[""/fbidk/stand-updk-saeson-4/saeson-4-afsnit-11/""]","","[""57""]","","","","","[""73""]","https://videodelivery.net/153882c09a3661251b6b6ff43d32e8d5/downloads/default.mp4","","ready","0","https://videodelivery.net/153882c09a3661251b6b6ff43d32e8d5/thumbnails/thumbnail.jpg","153882c09a3661251b6b6ff43d32e8d5","0","","0","","9","352314731","","","FBI.DK","2006","Standup.dk er en stand-up tv-programserie  med en samling af de bedste og nyeste danske komikere.
Det blev sendt på TV for første gang i 1997, og siden er der lavet 6 sæsoner mere.

Medvirkende på sæson 4:
Thomas Wivel","","/media/3472/sudk-dvdfront.jpg","Sæson 4 afsnit 11","","25","Comedy,Standup","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3472/sudk-dvdfront.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3472/sudk-dvdfront.jpg?crop=High""}]","/media/3472/sudk-dvdfront.jpg?crop=Wide","/media/3472/sudk-dvdfront.jpg?crop=High"
