id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,publishDate,releaseDate,removeDate,ownerName,ownerId,updaterName,updaterId,parentId,sortOrder,urls,salesAmount,transactionFee,kiibeeCut,rentAmount,from,rawEarnings,amount,isPaid,to,transactionAmount,kiibeeCutAmount
"123619","ea23fc73-ee38-449f-a124-9a20b81edc48","umb://document/ea23fc73ee38449fa1249a20b81edc48","KBF-1755","payout","true","true","2026-05-26 10:01:23","2026-05-26 10:10:49","","","","","","","","41917","11","[""/fbidk/payouts/kbf-1755/""]","44","7","15","23","2025-12-19 09:17:40","4495","3175.35","true","2026-05-26 10:01:14","314.65","1005"
"116561","86824b6c-4542-4378-8214-0ffe4acca83b","umb://document/86824b6c4542437882140ffe4acca83b","KBF-1703","payout","true","true","2025-12-19 09:19:38","2025-12-19 09:38:24","","","","","","","","41917","10","[""/fbidk/payouts/kbf-1703/""]","69","7","15","26","2025-06-17 08:00:00","6085","4234.05","true","2025-12-19 09:17:40","425.95","1425"
"110632","429212e4-5b4c-48c3-b9f6-0604ad91a131","umb://document/429212e45b4c48c3b9f60604ad91a131","KBF-1647","payout","true","true","2025-06-17 08:00:06","2025-06-17 08:15:03","","","","","","","","41917","9","[""/fbidk/payouts/kbf-1647/""]","33","7","15","7","2025-03-21 15:57:54","3326","2493.18","true","2025-06-17 08:00:00","232.82","600"
"107559","b408b50a-5ec7-4e01-b913-024fc7ba8c06","umb://document/b408b50a5ec74e01b913024fc7ba8c06","KBF-1613","payout","true","true","2025-03-21 16:02:07","2025-03-22 10:13:20","","","","","","","","41917","8","[""/fbidk/payouts/kbf-1613/""]","24","7","15","15","2024-12-06 16:59:34","2565","1800.45","true","2025-03-21 15:57:54","179.55","585"
"103422","7c38846a-b7bc-463d-a9ba-066951270556","umb://document/7c38846ab7bc463da9ba066951270556","KBF-1590","payout","true","true","2024-12-06 17:00:04","2024-12-06 17:01:35","","","","","","","","41917","7","[""/fbidk/payouts/kbf-1590/""]","35","7","15","9","2024-06-21 07:48:28","2832","1973.76","true","2024-12-06 16:59:34","198.24","660"
"98041","28acf42c-2b81-4183-b473-254fc58d19b6","umb://document/28acf42c2b814183b473254fc58d19b6","KBF-1542","payout","true","true","2024-06-21 07:49:13","2024-06-21 08:48:55","","","","","","","","41917","6","[""/fbidk/payouts/kbf-1542/""]","17","7","10","10","2023-11-23 11:06:17","1620","1236.6","true","2024-06-21 07:48:28","113.4","270"
"92549","8d3a81ce-9d07-44dc-8663-84a5e35401de","umb://document/8d3a81ce9d0744dc866384a5e35401de","KBF-1465","payout","true","true","2023-11-23 11:06:39","2023-11-23 11:08:23","","","","","","","","41917","5","[""/fbidk/payouts/kbf-1465/""]","24","5","15","5","2023-05-16 08:42:08","1878","1349.1","true","2023-11-23 11:06:17","93.9","435"
"81881","d595efd7-c29a-48fa-9ba5-ea9f2860d5c3","umb://document/d595efd7c29a48fa9ba5ea9f2860d5c3","KBF-1412","payout","true","true","2023-05-16 08:42:12","2023-05-16 11:49:58","","","","","","","","41917","4","[""/fbidk/payouts/kbf-1412/""]","15","5","15","3","2023-03-07 10:48:29","1202","871.9","true","2023-05-16 08:42:08","60.1","270"
"78700","a03b3604-1da0-435d-b105-0ab650c42353","umb://document/a03b36041da0435db1050ab650c42353","KBF-1383","payout","true","true","2023-03-07 10:49:03","2023-03-07 10:50:28","","","","","","","","41917","3","[""/fbidk/payouts/kbf-1383/""]","21","5","15","4","2022-12-29 09:59:02","1543","1090.85","true","2023-03-07 10:48:29","77.15","375"
"76298","c18b6588-3af7-42f6-9149-54fc8a47ed2a","umb://document/c18b65883af742f6914954fc8a47ed2a","KBF-1362","payout","true","true","2022-12-29 09:59:49","2022-12-29 10:04:53","","","","","","","","41917","2","[""/fbidk/payouts/kbf-1362/""]","24","5","10","10","2022-08-30 11:11:38","2863","2379.85","true","2022-12-29 09:59:02","143.15","340"
"69473","3a0768c2-32f8-4b6f-8039-6ee6156c1f28","umb://document/3a0768c232f84b6f80396ee6156c1f28","KBF-1301","payout","true","true","2022-08-30 11:20:49","2022-08-30 12:02:18","","","","","","","","41917","1","[""/fbidk/payouts/kbf-1301/""]","327","4","10","109","2022-03-16 14:26:10","29900","24344","true","2022-08-30 11:11:38","1196","4360"
"62618","108050ed-1c98-4586-be46-7ecd4c8b85d9","umb://document/108050ed1c984586be467ecd4c8b85d9","KBF-1257","payout","true","true","2022-03-16 14:26:49","2022-03-17 09:44:57","","","","","","","","41917","0","[""/fbidk/payouts/kbf-1257/""]","49","3","5","5","2021-04-02 13:53:00","2510","2164.7","true","2022-03-16 14:26:10","75.3","270"
