id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,publishDate,releaseDate,removeDate,ownerName,ownerId,updaterName,updaterId,parentId,sortOrder,urls,salesAmount,transactionFee,kiibeeCut,rentAmount,from,rawEarnings,amount,isPaid,to,transactionAmount,kiibeeCutAmount
"123406","5ed38af2-f4a1-4345-8e49-3171ca64f2b8","umb://document/5ed38af2f4a143458e493171ca64f2b8","KBF-1749","payout","true","true","2026-05-21 10:11:44","2026-05-22 10:04:26","","","","","","","","96015","10","[""/fonden-eventyrteatret/payouts/kbf-1749/""]","9","6","7","7","2026-04-08 11:20:31","1684","1470.96","true","2026-05-21 10:11:37","101.04","112"
"120885","e74ac9e6-465c-4e8c-af72-c9ef016c494a","umb://document/e74ac9e6465c4e8caf72c9ef016c494a","KBF-1733","payout","true","true","2026-04-08 11:20:50","2026-04-10 13:47:12","","","","","","","","96015","9","[""/fonden-eventyrteatret/payouts/kbf-1733/""]","15","6","7","12","2026-03-06 13:08:09","3023","2652.62","true","2026-04-08 11:20:31","181.38","189"
"119799","3595b2c1-90e4-4e5f-a27c-9e9b3c5a6f0f","umb://document/3595b2c190e44e5fa27c9e9b3c5a6f0f","KBF-1723","payout","true","true","2026-03-06 13:08:20","2026-03-09 10:56:11","","","","","","","","96015","8","[""/fonden-eventyrteatret/payouts/kbf-1723/""]","6","6","7","16","2026-01-07 11:36:45","1978","1705.32","true","2026-03-06 13:08:09","118.68","154"
"117260","db8f210d-5582-428b-bc9f-dcd7f36480aa","umb://document/db8f210d5582428bbc9fdcd7f36480aa","KBF-1710","payout","true","true","2026-01-07 11:37:38","2026-01-09 09:37:55","","","","","","","","96015","7","[""/fonden-eventyrteatret/payouts/kbf-1710/""]","21","6","9","23","2025-11-25 09:56:15","5106","4403.64","true","2026-01-07 11:36:45","306.36","396"
"115934","981c0d67-609e-4406-8b7b-3575842b3e67","umb://document/981c0d67609e44068b7b3575842b3e67","KBF-1684","payout","true","true","2025-11-25 09:56:20","2025-11-25 10:11:45","","","","","","","","96015","6","[""/fonden-eventyrteatret/payouts/kbf-1684/""]","26","6","9","32","2025-09-24 12:47:24","6392","5486.48","true","2025-11-25 09:56:15","383.52","522"
"113031","9ddf025f-485c-4c2a-8c4b-6c8558bd13c4","umb://document/9ddf025f485c4c2a8c4b6c8558bd13c4","KBF-1671","payout","true","true","2025-09-24 12:47:29","2025-09-27 09:24:23","","","","","","","","96015","5","[""/fonden-eventyrteatret/payouts/kbf-1671/""]","7","6","9","8","2025-06-16 10:34:02","1485","1260.9","true","2025-09-24 12:47:24","89.1","135"
"110596","376e5e74-4d38-4343-9b86-7280d108dd07","umb://document/376e5e744d3843439b867280d108dd07","KBF-1646","payout","true","true","2025-06-16 10:34:13","2025-06-17 08:13:31","","","","","","","","96015","4","[""/fonden-eventyrteatret/payouts/kbf-1646/""]","6","6","9","19","2025-04-01 11:28:33","1875","1537.5","true","2025-06-16 10:34:02","112.5","225"
"108197","ea1246d4-0a5a-4c7a-80a2-1b79826e5258","umb://document/ea1246d40a5a4c7a80a21b79826e5258","KBF-1615","payout","true","true","2025-04-01 11:28:51","2025-04-01 11:31:52","","","","","","","","96015","3","[""/fonden-eventyrteatret/payouts/kbf-1615/""]","13","6","9","10","2025-01-02 10:39:48","2477","2121.38","true","2025-04-01 11:28:33","148.62","207"
"104212","e8c7574d-8af8-4a3e-81ed-a08953c5f810","umb://document/e8c7574d8af84a3e81eda08953c5f810","KBF-1597","payout","true","true","2025-01-02 10:40:23","2025-01-03 11:20:14","","","","","","","","96015","2","[""/fonden-eventyrteatret/payouts/kbf-1597/""]","12","6","9","10","2024-11-26 12:56:03","2328","1990.32","true","2025-01-02 10:39:48","139.68","198"
"103153","50402ab2-385d-475c-9090-2c0f952e5267","umb://document/50402ab2385d475c90902c0f952e5267","KBF-1584","payout","true","true","2024-11-26 12:56:20","2024-11-29 14:25:30","","","","","","","","96015","1","[""/fonden-eventyrteatret/payouts/kbf-1584/""]","29","6","9","20","2024-11-05 10:27:15","5696","4913.24","true","2024-11-26 12:56:03","341.76","441"
"102107","46650fe9-75e6-4e2d-bcfd-22826c1da2c6","umb://document/46650fe975e64e2dbcfd22826c1da2c6","KBF-1572","payout","true","true","2024-11-05 10:27:36","2024-11-05 10:30:03","","","","","","","","96015","0","[""/fonden-eventyrteatret/payouts/kbf-1572/""]","21","6","9","36","2024-04-04 10:31:41","4843","4039.42","true","2024-11-05 10:27:15","290.58","513"
