id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,publishDate,releaseDate,removeDate,ownerName,ownerId,updaterName,updaterId,parentId,sortOrder,urls,salesAmount,transactionFee,kiibeeCut,rentAmount,from,rawEarnings,amount,isPaid,to,transactionAmount,kiibeeCutAmount
"99576","7646398c-f491-4892-abe0-6eb8b52aff72","umb://document/7646398cf4914892abe06eb8b52aff72","KBF-1553","payout","true","true","2024-08-12 16:17:35","2024-08-13 08:11:00","","","","","","","","21050","24","[""/hundedamen/payouts/kbf-1553/""]","0","5","12","1","2024-04-09 15:03:15","330","301.5","true","2024-08-12 16:17:22","16.5","12"
"96174","dc766e5f-0094-4141-af50-19f9d9d3c0e0","umb://document/dc766e5f00944141af5019f9d9d3c0e0","KBF-1506","payout","true","true","2024-04-09 15:03:26","2024-04-09 15:26:42","","","","","","","","21050","23","[""/hundedamen/payouts/kbf-1506/""]","0","5","12","1","2023-04-11 15:53:15","330","301.5","true","2024-04-09 15:03:15","16.5","12"
"80364","d506974f-ee67-4fdb-b3f3-5fa34dde9b3e","umb://document/d506974fee674fdbb3f35fa34dde9b3e","KBF-1403","payout","true","true","2023-04-11 15:53:28","2023-04-12 09:20:20","","","","","","","","21050","22","[""/hundedamen/payouts/kbf-1403/""]","0","5","9","1","2022-09-26 14:42:22","299","275.05","true","2023-04-11 15:53:15","14.95","9"
"72986","4ca69f44-d820-41ba-aacd-804f607e04d9","umb://document/4ca69f44d82041baaacd804f607e04d9","KBF-1321","payout","true","true","2022-09-26 14:42:32","2022-09-27 09:09:43","","","","","","","","21050","21","[""/hundedamen/payouts/kbf-1321/""]","0","4","5","1","2022-06-20 14:14:23","299","282.04","true","2022-09-26 14:42:22","11.96","5"
"66682","cdcd36a4-c4d4-4f95-ae2d-6135cdf68abe","umb://document/cdcd36a4c4d44f95ae2d6135cdf68abe","KBF-1285","payout","true","true","2022-06-20 14:14:34","2022-06-22 09:37:55","","","","","","","","21050","20","[""/hundedamen/payouts/kbf-1285/""]","0","3","5","2","2022-06-01 15:48:14","598","570.06","true","2022-06-20 14:14:23","17.94","10"
"64951","98aa118e-7e58-443f-980d-e8475229cd88","umb://document/98aa118e7e58443f980de8475229cd88","KBF-1280","payout","true","true","2022-06-01 15:48:22","2022-06-01 19:16:42","","","","","","","","21050","19","[""/hundedamen/payouts/kbf-1280/""]","0","3","5","1","2022-04-26 14:33:31","299","285.03","true","2022-06-01 15:48:14","8.97","5"
"63908","b17227ea-7015-4a2a-a5d7-acb68d63cb92","umb://document/b17227ea70154a2aa5d7acb68d63cb92","KBF-1270","payout","true","true","2022-04-26 14:33:41","2022-04-27 13:07:47","","","","","","","","21050","18","[""/hundedamen/payouts/kbf-1270/""]","0","3","5","3","2022-04-13 10:41:01","897","855.09","true","2022-04-26 14:33:31","26.91","15"
"63497","668310f6-e15e-4fe2-846e-677dd7e2bd08","umb://document/668310f6e15e4fe2846e677dd7e2bd08","KBF-1266","payout","true","true","2022-04-13 10:41:10","2022-04-17 16:42:16","","","","","","","","21050","17","[""/hundedamen/payouts/kbf-1266/""]","1","3","5","1","2022-02-04 10:41:20","348","327.56","true","2022-04-13 10:41:01","10.44","10"
"61044","f59c5a02-b679-47e0-842d-46a68039b224","umb://document/f59c5a02b67947e0842d46a68039b224","KBF-1246","payout","true","true","2022-02-04 10:41:27","2022-02-04 11:48:18","","","","","","","","21050","16","[""/hundedamen/payouts/kbf-1246/""]","1","3","5","1","2021-12-28 11:43:04","348","327.56","true","2022-02-04 10:41:20","10.44","10"
"55594","7b058031-7ea5-4226-81d6-8ff6db388689","umb://document/7b0580317ea5422681d68ff6db388689","KBF-1239","payout","true","true","2021-12-28 11:43:10","2021-12-28 12:20:11","","","","","","","","21050","15","[""/hundedamen/payouts/kbf-1239/""]","0","3","5","1","2021-12-17 15:56:50","299","285.03","true","2021-12-28 11:43:04","8.97","5"
"54978","703f4d1e-c2f8-4e14-9dca-070eebfb18af","umb://document/703f4d1ec2f84e149dca070eebfb18af","KBF-1234","payout","true","true","2021-12-17 15:56:57","2021-12-19 18:44:55","","","","","","","","21050","14","[""/hundedamen/payouts/kbf-1234/""]","0","3","5","1","2021-11-23 14:21:03","299","285.03","true","2021-12-17 15:56:50","8.97","5"
"52778","2077b4d0-9bef-4cd7-addd-8fb88c7c2cd9","umb://document/2077b4d09bef4cd7addd8fb88c7c2cd9","KBF-1220","payout","true","true","2021-11-23 14:21:12","2021-11-24 13:35:10","","","","","","","","21050","13","[""/hundedamen/payouts/kbf-1220/""]","0","3","5","1","2021-11-03 09:38:26","299","285.03","true","2021-11-23 14:21:03","8.97","5"
"51211","ebf70e6d-c8cb-4f83-8d25-13d165eee2e8","umb://document/ebf70e6dc8cb4f838d2513d165eee2e8","KBF-1212","payout","true","true","2021-11-03 09:38:35","2021-11-04 13:08:16","","","","","","","","21050","12","[""/hundedamen/payouts/kbf-1212/""]","0","3","5","1","2021-10-11 12:31:07","299","285.03","true","2021-11-03 09:38:26","8.97","5"
"50729","febcfb2a-d1b2-4003-b0a5-0f0e143d3c52","umb://document/febcfb2ad1b24003b0a50f0e143d3c52","KBF-1204","payout","true","true","2021-10-11 12:31:14","2021-10-12 08:33:12","","","","","","","","21050","11","[""/hundedamen/payouts/kbf-1204/""]","0","3","5","1","2021-08-23 11:10:59","299","285.03","true","2021-10-11 12:31:07","8.97","5"
"49470","1773566e-e546-4ba9-9200-600f9803da27","umb://document/1773566ee5464ba99200600f9803da27","KBF-1179","payout","true","true","2021-08-23 11:11:09","2021-08-24 13:07:44","","","","","","","","21050","10","[""/hundedamen/payouts/kbf-1179/""]","0","3","5","1","2021-06-30 14:31:48","299","285.03","true","2021-08-23 11:10:59","8.97","5"
"47823","8b85f17d-15a9-4c81-9e3e-e5b60618669b","umb://document/8b85f17d15a94c819e3ee5b60618669b","KBF-1163","payout","true","true","2021-06-30 14:31:55","2021-06-30 15:52:04","","","","","","","","21050","9","[""/hundedamen/payouts/kbf-1163/""]","2","3","5","0","2021-06-07 14:34:49","598","570.06","true","2021-06-30 14:31:48","17.94","10"
"46905","db71906b-31b0-4784-ba22-db55372185ff","umb://document/db71906b31b04784ba22db55372185ff","KBF-1157","payout","true","true","2021-06-07 14:34:58","2021-06-10 13:15:09","","","","","","","","21050","8","[""/hundedamen/payouts/kbf-1157/""]","5","3","5","0","2021-04-30 14:56:11","1495","1425.15","true","2021-06-07 14:34:49","44.85","25"
"44521","cd914bdf-d3b8-41cd-94b7-656caa4ca395","umb://document/cd914bdfd3b841cd94b7656caa4ca395","KBF-1150","payout","true","true","2021-04-30 14:56:17","2021-05-01 10:30:45","","","","","","","","21050","7","[""/hundedamen/payouts/kbf-1150/""]","2","3","5","0","2021-03-26 15:27:12","598","570.06","true","2021-04-30 14:56:11","17.94","10"
"41324","e78be157-8f33-4f68-acb1-be3347e19849","umb://document/e78be1578f334f68acb1be3347e19849","KBF-1134","payout","true","true","2021-03-26 15:27:26","2021-04-07 10:38:50","","","","","","","","21050","6","[""/hundedamen/payouts/kbf-1134/""]","4","3","5","0","2021-02-24 14:17:49","1196","1140.12","true","2021-03-26 15:27:12","35.88","20"
"38415","16032e0e-e5a0-4a8d-ae06-ede255c705ae","umb://document/16032e0ee5a04a8dae06ede255c705ae","KBF-1122","payout","true","true","2021-02-24 14:17:58","2021-02-28 08:21:24","","","","","","","","21050","5","[""/hundedamen/payouts/kbf-1122/""]","","","","","2021-01-21 15:55:04","","855.09","true","2021-02-24 14:17:49","",""
"29738","70f7b9f9-c918-4543-81ec-bcd2a6cc6211","umb://document/70f7b9f9c918454381ecbcd2a6cc6211","KBF-1111","payout","true","true","2021-01-21 15:55:16","2021-01-21 17:38:55","","","","","","","","21050","4","[""/hundedamen/payouts/kbf-1111/""]","","","","","2021-01-18 14:59:59","","285.03","true","2021-01-21 15:55:04","",""
"29279","5324b5fb-f710-49bf-bc90-5eb61eb6fe87","umb://document/5324b5fbf71049bfbc905eb61eb6fe87","KBF-1110","payout","true","true","2021-01-18 15:00:15","2021-01-18 15:03:35","","","","","","","","21050","3","[""/hundedamen/payouts/kbf-1110/""]","","","","","2020-12-29 16:19:39","","855.09","true","2021-01-18 14:59:59","",""
