id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,publishDate,releaseDate,removeDate,ownerName,ownerId,updaterName,updaterId,parentId,sortOrder,urls,purchasePrice,access,rentalPrice,code,metaDescription,metaTitle,type,videoDownloadURL,rawFile,videoStatus,hidden,videoThumbnailURL,videoID,openWebContentInNewWindows,trailer,openWebContentFromList,webContentURL,orderID,videoSize,productLink,expandedDescription,production,year,description,productionLink,thumbnail,title,badge,length,tags,hidePlay,hideDownload,siteMapOption,thumbnailCrops,thumbnailWide,thumbnailHigh
"43607","dc52f28f-64a3-4b1b-8cc6-6f2d18fdadfc","umb://document/dc52f28f64a34b1b8cc66f2d18fdadfc","Velkommen til online kurser i Kammas Kantine","media","true","true","2021-04-21 14:51:39","2021-04-21 20:07:46","2021-04-21 20:07:46","","","Martin H. Schläger","0","Martin H. Schläger","0","42900","11","[""/kammas-kantine/kram-din-krop-med-kål-komplet-adgang-til-hele-kurset-78-min/velkommen-til-online-kurser-i-kammas-kantine/""]","","[""57""]","","","","","[""264""]","","","","0","","","0","https://vimeo.com/530774010","0","https://vimeo.com/536279838","0","","","","Kronborg Kommunikation","2021","Velkommen til online kurser i Kammas Kantine.

Online kurser i Kammas Kantine er til dig, der gerne vil lære at få krammet på din krop med fuld fokus på viden, sundhed og fantastiske retter - der er enkle at lave i dit eget køkken. 

Det er også online kurser til dig, som elsker ny viden, men foretrækker at få den leveret, når det passer dig og din hverdag. Det er kurser til dig, der sætter pris på video af høj kvalitet, energi og vel fortalte historier.","https://kronborgkommunikation.dk/","/media/3273/kamma-ka-lgriner.png","Velkommen til online kurser i Kammas Kantine","","5","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3273/kamma-ka-lgriner.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3273/kamma-ka-lgriner.png?crop=High""}]","/media/3273/kamma-ka-lgriner.png?crop=Wide","/media/3273/kamma-ka-lgriner.png?crop=High"
"42957","3e563b54-5bff-4532-9a77-2e50bed0cf55","umb://document/3e563b545bff45329a772e50bed0cf55","Kål krammer din krop - grøntsagernes superhelt, 9 min.","media","true","true","2021-04-14 22:52:14","2021-04-21 15:06:35","2021-04-21 15:06:35","","","Martin H. Schläger","0","Martin H. Schläger","0","42900","0","[""/kammas-kantine/kram-din-krop-med-kål-komplet-adgang-til-hele-kurset-78-min/kaal-krammer-din-krop-groentsagernes-superhelt-9-min/""]","","[""59""]","","Kamma2021","","","[""264""]","","","","0","","","0","https://vimeo.com/530774010","0","https://vimeo.com/536273373","1","","","","Kronborg Kommunikation","2021","Kål er en superhelt i grøntsagsverdenen! Den kan både stabilisere dit blodsukker og forebygge kræft, type 2 diabetes og hjertekarsygdomme - og så smager kål hulens godt.","https://kronborgkommunikation.dk/","/media/3182/ka-l-krammer-din-krop00_00_43_11still002.png","Kål krammer din krop - grøntsagernes superhelt, 9 min.","","9","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3182/ka-l-krammer-din-krop00_00_43_11still002.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3182/ka-l-krammer-din-krop00_00_43_11still002.png?crop=High""}]","/media/3182/ka-l-krammer-din-krop00_00_43_11still002.png?crop=Wide","/media/3182/ka-l-krammer-din-krop00_00_43_11still002.png?crop=High"
"42963","dfbee5b7-9b9d-4607-a1f0-c46e1986f7ae","umb://document/dfbee5b79b9d4607a1f0c46e1986f7ae","Den rå kål - Kammas blomkåls-tabouleh, 12 min.","media","true","true","2021-04-14 23:06:39","2022-04-12 12:41:12","2022-04-12 12:41:12","","","Martin H. Schläger","0","Martin H. Schläger","0","42900","1","[""/kammas-kantine/kram-din-krop-med-kål-komplet-adgang-til-hele-kurset-78-min/den-raa-kaal-kammas-blomkaals-tabouleh-12-min/""]","","[""57""]","","","","","[""264""]","","","","0","","","0","https://vimeo.com/530774010","0","https://vimeo.com/535176195","2","","","","Kronborg Kommunikation","2021","Blomkåls-tabouleh kan laves i et væld af variationer - her laver Kamma en super festlig og meget velsmagende udgave. God til fest og buffeter…, og festlige hverdage.","https://kronborgkommunikation.dk/","/media/3183/den-ra-ka-l00_01_14_20still001.png","Den rå kål - Kammas blomkåls-tabouleh, 12 min.","FORÅRSTILBUD","12","opskrifter,madlavning,sundhed,kål,diabetes,kogebog","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3183/den-ra-ka-l00_01_14_20still001.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3183/den-ra-ka-l00_01_14_20still001.png?crop=High""}]","/media/3183/den-ra-ka-l00_01_14_20still001.png?crop=Wide","/media/3183/den-ra-ka-l00_01_14_20still001.png?crop=High"
"42989","ef681b6f-0ab3-423b-a9c2-e0b0c9fd1dee","umb://document/ef681b6f0ab3423ba9c2e0b0c9fd1dee","Kål & kød - Aromatisk asiatisk suppe med kødboller, 13 min.","media","true","true","2021-04-15 11:17:41","2022-04-12 12:41:32","2022-04-12 12:41:32","","","Martin H. Schläger","0","Martin H. Schläger","0","42900","2","[""/kammas-kantine/kram-din-krop-med-kål-komplet-adgang-til-hele-kurset-78-min/kaal-koed-aromatisk-asiatisk-suppe-med-koedboller-13-min/""]","","[""57""]","","","","","[""264""]","","","","0","","","0","https://vimeo.com/530774010","0","https://vimeo.com/536276142","3","","","","Kronborg Kommunikation","2021","En skøn varmende aromatisk suppe stoppet med vitaminer - god både sommer og vinter.","https://kronborgkommunikation.dk/","/media/3184/ka-lkoed-00_01_15_16still001.png","Kål & kød - Aromatisk asiatisk suppe med kødboller, 13 min.","FORÅRSTILBUD","13","sundhed,kost,opskrifter,madlavning,kål,grøntsager,madlavningkursus","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3184/ka-lkoed-00_01_15_16still001.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3184/ka-lkoed-00_01_15_16still001.png?crop=High""}]","/media/3184/ka-lkoed-00_01_15_16still001.png?crop=Wide","/media/3184/ka-lkoed-00_01_15_16still001.png?crop=High"
"43000","50108428-8b8f-4420-a3f9-e9053feb3694","umb://document/501084288b8f4420a3f9e9053feb3694","Den cremede kål - Kammas blomkålspuré med rosmarinsmør, 6 min.","media","true","true","2021-04-15 13:39:21","2022-04-12 12:41:51","2022-04-12 12:41:51","","","Martin H. Schläger","0","Martin H. Schläger","0","42900","7","[""/kammas-kantine/kram-din-krop-med-kål-komplet-adgang-til-hele-kurset-78-min/den-cremede-kaal-kammas-blomkaalspuré-med-rosmarinsmoer-6-min/""]","","[""57""]","","","","","[""264""]","","","","0","","","0","https://vimeo.com/530774010","0","https://vimeo.com/534949040","4","","","","Kronborg Kommunikation","2021","Blomkål er fantastisk velegnet til at lave lækker puré af - her med det lækreste brunede smør.","https://kronborgkommunikation.dk/","/media/3190/cremede-ka-l.png","Den cremede kål - Kammas blomkålspuré med rosmarinsmør, 6 min.","FORÅRSTILBUD","6","sundhed,kost,opskrifter,madlavning,kål,grøntsager,madlavningskursus","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3190/cremede-ka-l.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3190/cremede-ka-l.png?crop=High""}]","/media/3190/cremede-ka-l.png?crop=Wide","/media/3190/cremede-ka-l.png?crop=High"
"42990","3778dfb9-f9f1-4c28-8f8c-838f9bd54b3d","umb://document/3778dfb9f9f14c288f8c838f9bd54b3d","Kammas kål leksikon - kål gennem tiden, 4 min.","media","true","true","2021-04-15 11:28:31","2021-04-21 15:06:37","2021-04-21 15:06:37","","","Martin H. Schläger","0","Martin H. Schläger","0","42900","3","[""/kammas-kantine/kram-din-krop-med-kål-komplet-adgang-til-hele-kurset-78-min/kammas-kaal-leksikon-ka-l-gennem-tiden-4-min/""]","","[""57""]","","","","","[""264""]","","","","0","","","0","https://vimeo.com/530774010","0","https://vimeo.com/535062681","5","","","","Kronborg Kommunikation","2021","Sulevælling - det lyder umiddelbart ikke vanvittig lækkert, men det var en ret, som ofte kom bordet i danske hjem for flere hundrede år siden. Vi har nemlig spist kål rigtig længe - heldigvis!","https://kronborgkommunikation.dk/","/media/3185/kamma-grin-med-ka-l.png","Kammas kål leksikon - kål gennem tiden, 4 min.","","4","sundhed,kost,opskirfter,madlavning,kål,grøntsager historie,madlavningskursus","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3185/kamma-grin-med-ka-l.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3185/kamma-grin-med-ka-l.png?crop=High""}]","/media/3185/kamma-grin-med-ka-l.png?crop=Wide","/media/3185/kamma-grin-med-ka-l.png?crop=High"
"42997","19428beb-a5bc-4c3e-bee4-283a4d19ac28","umb://document/19428beba5bc4c3ebee4283a4d19ac28","Den stegte kål - Kammas stegte spidskål med æble, bacon og karry, 11 min.","media","true","true","2021-04-15 13:12:37","2022-04-12 12:42:22","2022-04-12 12:42:22","","","Martin H. Schläger","0","Martin H. Schläger","0","42900","4","[""/kammas-kantine/kram-din-krop-med-kål-komplet-adgang-til-hele-kurset-78-min/den-stegte-kaal-kammas-stegte-spidskaal-med-aeble-bacon-og-karry-11-min/""]","","[""57""]","","","","","[""264""]","","","","0","","","0","https://vimeo.com/530774010","0","https://vimeo.com/534937876","6","","","","Kronborg Kommunikation","2021","Stegt kål kan noget særligt - det er meget lækkert og kan bruges som tilbehør til et væld af retter - eller som skøn enkel ret i sig selv.","https://kronborgkommunikation.dk/","/media/3186/den-stegte-ka-l00_01_42_16still004.png","Den stegte kål - Kammas stegte spidskål med æble, bacon og karry, 11 min.","FORÅRSTILBUD","11","sundhed,kost,madlavning,kål,grøntsager,madlavningskursus,opskrifter","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3186/den-stegte-ka-l00_01_42_16still004.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3186/den-stegte-ka-l00_01_42_16still004.png?crop=High""}]","/media/3186/den-stegte-ka-l00_01_42_16still004.png?crop=Wide","/media/3186/den-stegte-ka-l00_01_42_16still004.png?crop=High"
"42998","961ae5fd-2c70-4dd6-9b92-250f4cd37215","umb://document/961ae5fd2c704dd69b92250f4cd37215","Den bagte kål - Kammas bagte kål med ost og fløde, 10 min.","media","true","true","2021-04-15 13:16:39","2022-04-12 12:42:38","2022-04-12 12:42:38","","","Martin H. Schläger","0","Martin H. Schläger","0","42900","5","[""/kammas-kantine/kram-din-krop-med-kål-komplet-adgang-til-hele-kurset-78-min/den-bagte-kaal-kammas-bagte-kaal-med-ost-og-floede-10-min/""]","","[""57""]","","","","","[""264""]","","","","0","","","0","https://vimeo.com/530774010","0","https://vimeo.com/536267844","7","","","","Kronborg Kommunikation","2021","Grønkål er en kåltype, som virkelig egner sig godt til tilberedning i ovnen. Her får kålens supernova skønt cremet selskab.","https://kronborgkommunikation.dk/","/media/3187/den-bagte-ka-l00_07_51_17still001.png","Den bagte kål - Kammas bagte kål med ost og fløde, 10 min.","FORÅRSTILBUD","10","sundhed,kost,madlavning,kål,grøntsager,opskrifter,madlavningskursus","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3187/den-bagte-ka-l00_07_51_17still001.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3187/den-bagte-ka-l00_07_51_17still001.png?crop=High""}]","/media/3187/den-bagte-ka-l00_07_51_17still001.png?crop=Wide","/media/3187/den-bagte-ka-l00_07_51_17still001.png?crop=High"
"42999","c509248b-e39a-4f56-92ec-e706e6d663ac","umb://document/c509248be39a4f5692ece706e6d663ac","Kammas hacks med kål, 8 min.","media","true","true","2021-04-15 13:21:06","2022-04-12 12:43:04","2022-04-12 12:43:04","","","Martin H. Schläger","0","Martin H. Schläger","0","42900","6","[""/kammas-kantine/kram-din-krop-med-kål-komplet-adgang-til-hele-kurset-78-min/kammas-hacks-med-kaal-8-min/""]","","[""57""]","","","","","[""264""]","","","","0","","","0","https://vimeo.com/530774010","0","https://vimeo.com/536270871","8","","","","Kronborg Kommunikation","2021","Tid til mad er ofte en mangelvare - her viser Kamma, hvordan du med enkel, sjov planlægning og få redskaber kan gøre det meget nemmere at få kål på bordet hver eneste dag…, eller i hvert fald ofte.","https://kronborgkommunikation.dk/","/media/3188/ka-l-hacks-sug.png","Kammas hacks med kål, 8 min.","","8","sundhed,kost,opskirfter,madlavning,kål,grøntsager,madlavningskursus","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3188/ka-l-hacks-sug.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3188/ka-l-hacks-sug.png?crop=High""}]","/media/3188/ka-l-hacks-sug.png?crop=Wide","/media/3188/ka-l-hacks-sug.png?crop=High"
"43170","9b662aed-0b41-44a4-b0af-f19a77685332","umb://document/9b662aed0b4144a4b0aff19a77685332","Kram din krop med kål - OPSKRIFTERNE","media","true","true","2021-04-16 13:20:36","2021-04-21 15:06:39","2021-04-21 15:06:39","","","Martin H. Schläger","0","Martin H. Schläger","0","42900","8","[""/kammas-kantine/kram-din-krop-med-kål-komplet-adgang-til-hele-kurset-78-min/kram-din-krop-med-kaal-opskrifterne/""]","","[""57""]","","","","","[""75""]","","/media/3216/opskrifterne-pdf.pdf","","0","","","0","https://vimeo.com/530774010","0","","9","","","","Kronborg Kommunikation","2021","Her er opskrifterne til de retter, du kan se i onlinekurset Kram din krop med kål.

Alle opskrifter er beregnet til fire personer.

God fornøjelse.

Og følg med og få mere indhold på:    
Instagram: #kammaskantine
Facebook: @kammaskantine

DBH Kamma","https://kronborgkommunikation.dk/","/media/3217/kammas-online-kursus.png","Kram din krop med kål - OPSKRIFTERNE","OPSKRIFTER","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3217/kammas-online-kursus.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3217/kammas-online-kursus.png?crop=High""}]","/media/3217/kammas-online-kursus.png?crop=Wide","/media/3217/kammas-online-kursus.png?crop=High"
