id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,publishDate,releaseDate,removeDate,ownerName,ownerId,updaterName,updaterId,parentId,sortOrder,urls,salesAmount,transactionFee,kiibeeCut,rentAmount,from,rawEarnings,amount,isPaid,to,transactionAmount,kiibeeCutAmount
"116531","58a3700d-0f40-44d9-a7e9-7f761a2c3b27","umb://document/58a3700d0f4044d9a7e97f761a2c3b27","KBF-1702","payout","true","true","2025-12-17 10:13:08","2025-12-17 12:20:56","","","","","","","","16706","11","[""/paedagogisk-psykologisk-tidsskrift/payouts/kbf-1702/""]","12","6","25","0","2025-06-17 10:28:26","660","320.4","true","2025-12-17 10:12:17","39.6","300"
"110634","0ea53169-4dad-42c7-8bdd-5c2dcc285d01","umb://document/0ea531694dad42c78bdd5c2dcc285d01","KBF-1648","payout","true","true","2025-06-17 10:28:38","2025-12-17 12:19:46","","","","","","","","16706","10","[""/paedagogisk-psykologisk-tidsskrift/payouts/kbf-1648/""]","23","6","25","0","2025-01-08 13:14:31","1265","614.1","true","2025-06-17 10:28:26","75.9","575"
"104547","32d60bab-dc35-4441-9cd5-210833dc9ee8","umb://document/32d60babdc3544419cd5210833dc9ee8","KBF-1601","payout","true","true","2025-01-08 13:15:23","2025-01-11 10:13:39","","","","","","","","16706","9","[""/paedagogisk-psykologisk-tidsskrift/payouts/kbf-1601/""]","17","6","25","0","2024-06-14 15:05:51","935","453.9","true","2025-01-08 13:14:31","56.1","425"
"97857","bf18d84f-2af0-44ac-891f-b783f578bf36","umb://document/bf18d84f2af044ac891fb783f578bf36","KBF-1540","payout","true","true","2024-06-14 15:06:13","2024-06-17 12:16:26","","","","","","","","16706","8","[""/paedagogisk-psykologisk-tidsskrift/payouts/kbf-1540/""]","44","6","25","0","2023-12-11 09:16:44","2420","1174.8","true","2024-06-14 15:05:51","145.2","1100"
"93096","b5f6964a-c872-4f01-af11-7f09900b59b5","umb://document/b5f6964ac8724f01af117f09900b59b5","KBF-1472","payout","true","true","2023-12-11 09:17:03","2023-12-11 12:46:39","","","","","","","","16706","7","[""/paedagogisk-psykologisk-tidsskrift/payouts/kbf-1472/""]","63","6","25","0","2023-05-11 08:01:42","3465","1682.1","true","2023-12-11 09:16:44","207.9","1575"
"81707","a3bdce98-7a68-4692-a629-7f079974bcda","umb://document/a3bdce987a684692a6297f079974bcda","KBF-1406","payout","true","true","2023-05-11 08:01:57","2023-05-12 11:09:02","","","","","","","","16706","6","[""/paedagogisk-psykologisk-tidsskrift/payouts/kbf-1406/""]","25","6","10","0","2023-03-09 11:36:04","1375","1042.5","true","2023-05-11 08:01:42","82.5","250"
"78772","eb6a6b44-07a9-4212-8a2a-f3b2807e6eff","umb://document/eb6a6b4407a942128a2af3b2807e6eff","KBF-1388","payout","true","true","2023-03-09 11:36:34","2023-03-10 10:48:31","","","","","","","","16706","5","[""/paedagogisk-psykologisk-tidsskrift/payouts/kbf-1388/""]","86","5","9","0","2022-08-16 15:15:13","4730","3719.5","true","2023-03-09 11:36:04","236.5","774"
"68706","2d7c1a49-56be-4b48-867d-8bea1b221086","umb://document/2d7c1a4956be4b48867d8bea1b221086","KBF-1292","payout","true","true","2022-08-16 15:15:32","2022-08-17 14:01:20","","","","","","","","16706","4","[""/paedagogisk-psykologisk-tidsskrift/payouts/kbf-1292/""]","88","3","5","1","2021-11-29 12:36:31","4895","4303.15","true","2022-08-16 15:15:13","146.85","445"
"53801","86ef63b9-3a95-467b-add8-169738b79857","umb://document/86ef63b93a95467badd8169738b79857","KBF-1225","payout","true","true","2021-11-29 12:37:00","2021-11-30 12:53:16","","","","","","","","16706","3","[""/paedagogisk-psykologisk-tidsskrift/payouts/kbf-1225/""]","18","3","5","0","2021-10-29 11:21:04","990","870.3","true","2021-11-29 12:36:31","29.7","90"
"51102","a1c04ba4-ff36-4fb8-b6da-deeadcd784cc","umb://document/a1c04ba4ff364fb8b6dadeeadcd784cc","KBF-1207","payout","true","true","2021-10-29 11:21:37","2021-11-01 14:07:42","","","","","","","","16706","2","[""/paedagogisk-psykologisk-tidsskrift/payouts/kbf-1207/""]","21","3","5","0","2021-09-02 08:59:42","1155","1015.35","true","2021-10-29 11:21:04","34.65","105"
"49705","49fdd6d4-c616-4ada-8c6d-196f4f84bcb2","umb://document/49fdd6d4c6164ada8c6d196f4f84bcb2","KBF-1182","payout","true","true","2021-09-02 09:00:10","2021-09-02 09:07:27","","","","","","","","16706","1","[""/paedagogisk-psykologisk-tidsskrift/payouts/kbf-1182/""]","111","3","5","0","2021-01-26 12:44:38","6105","5366.85","true","2021-09-02 08:59:42","183.15","555"
"30449","b584b6c6-cae4-49d8-8483-cfe0a53eaa5f","umb://document/b584b6c6cae449d88483cfe0a53eaa5f","KBF-1112","payout","true","true","2021-01-26 12:45:31","2021-01-27 16:04:46","","","","","","","","16706","0","[""/paedagogisk-psykologisk-tidsskrift/payouts/kbf-1112/""]","","","","","2020-06-05 11:00:17","","1934","true","2021-01-26 12:44:38","",""
