id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,publishDate,releaseDate,removeDate,ownerName,ownerId,updaterName,updaterId,parentId,sortOrder,urls,purchasePrice,access,rentalPrice,code,metaDescription,metaTitle,type,videoDownloadURL,rawFile,videoStatus,hidden,videoThumbnailURL,videoID,openWebContentInNewWindows,trailer,openWebContentFromList,webContentURL,orderID,videoSize,productLink,expandedDescription,production,year,description,productionLink,thumbnail,title,badge,length,tags,hidePlay,hideDownload,siteMapOption,thumbnailCrops,thumbnailWide,thumbnailHigh
"20913","d8ea7e1f-aca3-4cff-81ac-aae8df8c10a8","umb://document/d8ea7e1faca34cff81acaae8df8c10a8","Et Øjeblik","media","true","true","2020-10-21 14:20:21","2021-02-05 15:20:27","2021-02-05 15:20:27","","","Martin H. Schläger","0","Martin H. Schläger","0","20912","0","[""/songs-of-jacob-elk/nyt-album-koeb-download-alle-sangene-her/et-øjeblik/""]","","[""57""]","","","","","[""76""]","","/media/2477/et-oejeblik.mp3","","0","","","0","https://www.youtube.com/watch?v=mShb4cAEyjY","0","","1","","","","Songs Of Jacob Elk","0","Sang fra albummet ""Sange fra et krøllet sind"". Skrevet og komponeret af Jacob Elk / Sunget af Bjørn Fjæstad / Produceret af Brdr. Hellemann. Køb/stream alle sangene fra albummet som samling her nedenfor.","https://www.songsofjacobelk.com/","/media/2478/4.png","Et Øjeblik","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/2478/4.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/2478/4.png?crop=High""}]","/media/2478/4.png?crop=Wide","/media/2478/4.png?crop=High"
"20914","b47b698c-76b0-40e5-b88b-6d8bf6b2a629","umb://document/b47b698c76b040e5b88b6d8bf6b2a629","Forfra","media","true","true","2020-10-21 14:26:42","2021-02-05 15:14:31","2021-02-05 15:14:31","","","Martin H. Schläger","0","Martin H. Schläger","0","20912","1","[""/songs-of-jacob-elk/nyt-album-koeb-download-alle-sangene-her/forfra/""]","","[""57""]","","","","","[""76""]","","/media/2479/forfra.mp3","","0","","","0","","0","","2","","","","Songs Of Jacob Elk","0","Sang fra albummet ""Sange fra et krøllet sind"". Skrevet og komponeret af Jacob Elk / Sunget af Bjørn Fjæstad / Produceret af Brdr. Hellemann. Køb/stream alle sangene fra albummet som samling her nedenfor.","","/media/2480/2.png","Forfra","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/2480/2.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/2480/2.png?crop=High""}]","/media/2480/2.png?crop=Wide","/media/2480/2.png?crop=High"
"20916","ed895224-31d8-4d67-82b4-194397fdfac5","umb://document/ed89522431d84d6782b4194397fdfac5","Dem Vi Hver Især Er","media","true","true","2020-10-21 14:32:54","2021-02-05 15:14:46","2021-02-05 15:14:46","","","Martin H. Schläger","0","Martin H. Schläger","0","20912","2","[""/songs-of-jacob-elk/nyt-album-koeb-download-alle-sangene-her/dem-vi-hver-isaer-er/""]","","[""57""]","","","","","[""76""]","","/media/2481/dem-vi-hver-isaer-er.mp3","","0","","","0","","0","","3","","","","Songs Of Jacob Elk","0","Sang fra albummet ""Sange fra et krøllet sind"". Skrevet og komponeret af Jacob Elk / Sunget af Bjørn Fjæstad / Produceret af Brdr. Hellemann. Køb/stream alle sangene fra albummet som samling her nedenfor.","","/media/2482/1.png","Dem Vi Hver Især Er","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/2482/1.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/2482/1.png?crop=High""}]","/media/2482/1.png?crop=Wide","/media/2482/1.png?crop=High"
"20919","68287852-b603-43b6-bba6-68c0a0f9792e","umb://document/68287852b60343b6bba668c0a0f9792e","Fri","media","true","true","2020-10-21 14:59:54","2021-02-05 15:14:59","2021-02-05 15:14:59","","","Martin H. Schläger","0","Martin H. Schläger","0","20912","4","[""/songs-of-jacob-elk/nyt-album-koeb-download-alle-sangene-her/fri/""]","","[""57""]","","","","","[""76""]","","/media/2485/fri.mp3","","0","","","0","","0","","4","","","","Songs Of Jacob Elk","0","Sang fra albummet ""Sange fra et krøllet sind"". Skrevet og komponeret af Jacob Elk / Sunget af Bjørn Fjæstad / Produceret af Brdr. Hellemann. Køb/stream alle sangene fra albummet som samling her nedenfor.","","/media/2486/3.png","Fri","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/2486/3.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/2486/3.png?crop=High""}]","/media/2486/3.png?crop=Wide","/media/2486/3.png?crop=High"
"20920","94b23ddf-f113-4c26-a531-81a15e98d8c8","umb://document/94b23ddff1134c26a53181a15e98d8c8","Hr. & Fr. Hakkebøf","media","true","true","2020-10-21 15:03:28","2021-02-05 15:15:14","2021-02-05 15:15:14","","","Martin H. Schläger","0","Martin H. Schläger","0","20912","5","[""/songs-of-jacob-elk/nyt-album-koeb-download-alle-sangene-her/hr-fr-hakkeboef/""]","","[""57""]","","","","","[""76""]","","/media/2487/hr-og-fru-hakkeboef.mp3","","0","","","0","","0","","5","","","","Songs Of Jacob Elk","0","Sang fra albummet ""Sange fra et krøllet sind"". Skrevet og komponeret af Jacob Elk / Sunget af Bjørn Fjæstad / Produceret af Brdr. Hellemann. Køb/stream alle sangene fra albummet som samling her nedenfor.","","/media/2488/5.png","Hr. & Fr. Hakkebøf","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/2488/5.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/2488/5.png?crop=High""}]","/media/2488/5.png?crop=Wide","/media/2488/5.png?crop=High"
"20921","553d25be-76b3-4421-ba9d-7085523f45fb","umb://document/553d25be76b34421ba9d7085523f45fb","Hvad Skete Der Lige Der","media","true","true","2020-10-21 15:14:46","2021-02-05 15:15:41","2021-02-05 15:15:41","","","Martin H. Schläger","0","Martin H. Schläger","0","20912","6","[""/songs-of-jacob-elk/nyt-album-koeb-download-alle-sangene-her/hvad-skete-der-lige-der/""]","","[""57""]","","","","","[""76""]","","/media/2489/hvad-skete-der-lige-der.mp3","","0","","","0","","0","","6","","","","Songs Of Jacob Elk","0","Sang fra albummet ""Sange fra et krøllet sind"". Skrevet og komponeret af Jacob Elk / Sunget af Bjørn Fjæstad / Produceret af Brdr. Hellemann. Køb/stream alle sangene fra albummet som samling her nedenfor.","","/media/2490/6.png","Hvad Skete Der Lige Der","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/2490/6.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/2490/6.png?crop=High""}]","/media/2490/6.png?crop=Wide","/media/2490/6.png?crop=High"
"20922","334f58be-ac26-4ed7-8ea0-69b894638eec","umb://document/334f58beac264ed78ea069b894638eec","Misse Mig Selv","media","true","true","2020-10-21 15:16:29","2021-02-05 15:16:04","2021-02-05 15:16:04","","","Martin H. Schläger","0","Martin H. Schläger","0","20912","7","[""/songs-of-jacob-elk/nyt-album-koeb-download-alle-sangene-her/misse-mig-selv/""]","","[""57""]","","","","","[""76""]","","/media/2491/ikke-misse-mig-selv.mp3","","0","","","0","","0","","7","","","","Songs Of Jacob Elk","0","Sang fra albummet ""Sange fra et krøllet sind"". Skrevet og komponeret af Jacob Elk / Sunget af Bjørn Fjæstad / Produceret af Brdr. Hellemann. Køb/stream alle sangene fra albummet som samling her nedenfor.","","/media/2492/7.png","Misse Mig Selv","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/2492/7.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/2492/7.png?crop=High""}]","/media/2492/7.png?crop=Wide","/media/2492/7.png?crop=High"
"20925","a7698df0-234a-4edc-848b-a977b0668ded","umb://document/a7698df0234a4edc848ba977b0668ded","Kender Du Det?","media","true","true","2020-10-21 15:26:29","2021-02-05 15:16:35","2021-02-05 15:16:35","","","Martin H. Schläger","0","Martin H. Schläger","0","20912","8","[""/songs-of-jacob-elk/nyt-album-koeb-download-alle-sangene-her/kender-du-det/""]","","[""57""]","","","","","[""76""]","","/media/2493/kender-du-det.mp3","","0","","","0","","0","","8","","","","Songs Of Jacob Elk","0","Sang fra albummet ""Sange fra et krøllet sind"". Skrevet og komponeret af Jacob Elk / Sunget af Bjørn Fjæstad / Produceret af Brdr. Hellemann. Køb/stream alle sangene fra albummet som samling her nedenfor.","","/media/2494/8.png","Kender Du Det?","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/2494/8.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/2494/8.png?crop=High""}]","/media/2494/8.png?crop=Wide","/media/2494/8.png?crop=High"
"20926","2aef5c8d-b455-41fb-9daf-51e885f0ba1a","umb://document/2aef5c8db45541fb9daf51e885f0ba1a","Kigger Ud Af Mit Vindue","media","true","true","2020-10-21 15:28:14","2021-02-05 15:16:51","2021-02-05 15:16:51","","","Martin H. Schläger","0","Martin H. Schläger","0","20912","9","[""/songs-of-jacob-elk/nyt-album-koeb-download-alle-sangene-her/kigger-ud-af-mit-vindue/""]","","[""57""]","","","","","[""76""]","","/media/2495/kigger-ud-af-mit-vindue.mp3","","0","","","0","","0","","9","","","","Songs Of Jacob Elk","0","Sang fra albummet ""Sange fra et krøllet sind"". Skrevet og komponeret af Jacob Elk / Sunget af Bjørn Fjæstad / Produceret af Brdr. Hellemann. Køb/stream alle sangene fra albummet som samling her nedenfor.","","/media/2496/9.png","Kigger Ud Af Mit Vindue","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/2496/9.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/2496/9.png?crop=High""}]","/media/2496/9.png?crop=Wide","/media/2496/9.png?crop=High"
"20927","8dbe455c-b5eb-47af-a643-4f636c0b3250","umb://document/8dbe455cb5eb47afa6434f636c0b3250","Magi","media","true","true","2020-10-21 15:29:41","2021-02-05 15:22:49","2021-02-05 15:22:49","","","Martin H. Schläger","0","Martin H. Schläger","0","20912","10","[""/songs-of-jacob-elk/nyt-album-koeb-download-alle-sangene-her/magi/""]","","[""57""]","","","","","[""76""]","","/media/2497/magi.mp3","","0","","","0","https://www.youtube.com/watch?v=ZPl6A9iPKrA","0","","10","","","","Songs Of Jacob Elk","0","Sang fra albummet ""Sange fra et krøllet sind"". Skrevet og komponeret af Jacob Elk / Sunget af Bjørn Fjæstad / Produceret af Brdr. Hellemann. Køb/stream alle sangene fra albummet som samling her nedenfor.","","/media/2498/10.png","Magi","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/2498/10.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/2498/10.png?crop=High""}]","/media/2498/10.png?crop=Wide","/media/2498/10.png?crop=High"
