id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,publishDate,releaseDate,removeDate,ownerName,ownerId,updaterName,updaterId,parentId,sortOrder,urls,salesAmount,transactionFee,kiibeeCut,rentAmount,from,rawEarnings,amount,isPaid,to,transactionAmount,kiibeeCutAmount
"110638","1243b9fd-cae7-4772-be85-f148ebbeb602","umb://document/1243b9fdcae74772be85f148ebbeb602","KBF-1649","payout","true","true","2025-06-17 16:23:34","2025-06-17 16:31:47","","","","","","","","22554","10","[""Dette dokument er udgivet, men ikke synligt da den overliggende side 'mariebrixtofte' ikke er udgivet!""]","1","6","15","0","2024-12-03 07:47:32","199","172.06","true","2025-06-17 16:23:26","11.94","15"
"103314","7f4b64cb-2939-4c5d-bd33-797dd370d7e8","umb://document/7f4b64cb29394c5dbd33797dd370d7e8","KBF-1588","payout","true","true","2024-12-03 07:47:38","2024-12-03 09:24:40","","","","","","","","22554","9","[""Dette dokument er udgivet, men ikke synligt da den overliggende side 'mariebrixtofte' ikke er udgivet!""]","1","6","15","2","2024-05-29 16:19:05","397","328.18","true","2024-12-03 07:47:32","23.82","45"
"97469","f37629e6-51e1-4377-abca-46a663563ccd","umb://document/f37629e651e14377abca46a663563ccd","KBF-1526","payout","true","true","2024-05-29 16:19:17","2024-05-31 10:25:38","","","","","","","","22554","8","[""Dette dokument er udgivet, men ikke synligt da den overliggende side 'mariebrixtofte' ikke er udgivet!""]","2","6","15","0","2023-10-22 05:47:21","398","344.12","true","2024-05-29 16:19:05","23.88","30"
"91429","79b7fa5d-6505-4bcc-a607-7aacf5ddef24","umb://document/79b7fa5d65054bcca6077aacf5ddef24","KBF-1453","payout","true","true","2023-10-22 05:47:38","2023-10-23 12:44:43","","","","","","","","22554","7","[""Dette dokument er udgivet, men ikke synligt da den overliggende side 'mariebrixtofte' ikke er udgivet!""]","5","5","10","2","2023-04-07 16:53:38","1193","1063.35","true","2023-10-22 05:47:21","59.65","70"
"79968","6ea0daf0-a08f-4dba-a0aa-380a16a39342","umb://document/6ea0daf0a08f4dbaa0aa380a16a39342","KBF-1398","payout","true","true","2023-04-07 16:53:46","2023-04-09 11:15:43","","","","","","","","22554","6","[""Dette dokument er udgivet, men ikke synligt da den overliggende side 'mariebrixtofte' ikke er udgivet!""]","6","5","10","0","2023-03-17 13:24:30","1194","1074.3","true","2023-04-07 16:53:38","59.7","60"
"79158","86f917bb-401f-4c28-b53e-3d5804ecdeb2","umb://document/86f917bb401f4c28b53e3d5804ecdeb2","KBF-1394","payout","true","true","2023-03-17 13:24:40","2023-03-17 14:06:27","","","","","","","","22554","5","[""Dette dokument er udgivet, men ikke synligt da den overliggende side 'mariebrixtofte' ikke er udgivet!""]","3","5","10","1","2022-11-29 05:59:37","696","621.2","true","2023-03-17 13:24:30","34.8","40"
"75462","3238a3b3-67e3-4d4b-b03b-95bfedf13d18","umb://document/3238a3b367e34d4bb03b95bfedf13d18","KBF-1343","payout","true","true","2022-11-29 05:59:54","2022-11-29 17:06:09","","","","","","","","22554","4","[""Dette dokument er udgivet, men ikke synligt da den overliggende side 'mariebrixtofte' ikke er udgivet!""]","3","5","10","2","2022-08-24 08:02:48","795","705.25","true","2022-11-29 05:59:37","39.75","50"
"68971","7f254771-b46e-4eb3-a477-873c18dc0842","umb://document/7f254771b46e4eb3a477873c18dc0842","KBF-1297","payout","true","true","2022-08-24 08:02:58","2022-08-25 19:30:42","","","","","","","","22554","3","[""Dette dokument er udgivet, men ikke synligt da den overliggende side 'mariebrixtofte' ikke er udgivet!""]","1","4","10","3","2022-05-30 10:23:45","496","436.16","true","2022-08-24 08:02:48","19.84","40"
"64852","9d475f15-c4de-465a-ac2b-d2b1beefba33","umb://document/9d475f15c4de465aac2bd2b1beefba33","KBF-1278","payout","true","true","2022-05-30 10:23:52","2022-05-31 11:19:34","","","","","","","","22554","2","[""Dette dokument er udgivet, men ikke synligt da den overliggende side 'mariebrixtofte' ikke er udgivet!""]","1","4","10","1","2022-03-17 09:40:46","298","266.08","true","2022-05-30 10:23:45","11.92","20"
"62642","e6e74634-ecf1-4a9a-9613-c894ed344c9b","umb://document/e6e74634ecf14a9a9613c894ed344c9b","KBF-1259","payout","true","true","2022-03-17 09:41:04","2022-03-17 09:59:03","","","","","","","","22554","1","[""Dette dokument er udgivet, men ikke synligt da den overliggende side 'mariebrixtofte' ikke er udgivet!""]","2","4","10","5","2021-11-01 07:23:37","893","787.28","true","2022-03-17 09:40:46","35.72","70"
"51145","07e2ec7c-1b67-4f82-932e-a504a148bde0","umb://document/07e2ec7c1b674f82932ea504a148bde0","KBF-1209","payout","true","true","2021-11-01 07:23:56","2021-11-01 14:03:56","","","","","","","","22554","0","[""Dette dokument er udgivet, men ikke synligt da den overliggende side 'mariebrixtofte' ikke er udgivet!""]","46","4","10","22","2020-11-22 19:09:35","11135","10009.6","true","2021-11-01 07:23:37","445.4","680"
